k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.9990e-01	1.0000e+00	9.9999e-01	1.9995e+00	
2.0000e+00	0.0000e+00	5.0001e-01	9.9941e-01	0.0000e+00	1.9988e+00	9.9986e-01	5.9983e-01	9.9999e-01	2.9993e+00	
3.0000e+00	0.0000e+00	5.0001e-01	2.4995e+00	0.0000e+00	4.9990e+00	9.9988e-01	4.3901e-01	9.9999e-01	3.9147e+00	
4.0000e+00	0.0000e+00	5.0002e-01	4.4579e+00	0.0000e+00	8.9158e+00	9.9990e-01	3.4940e-01	9.9999e-01	4.7906e+00	
5.0000e+00	0.0000e+00	5.0003e-01	6.8547e+00	0.0000e+00	1.3709e+01	9.9991e-01	2.9150e-01	9.9999e-01	5.6428e+00	
6.0000e+00	0.0000e+00	5.0003e-01	9.6781e+00	0.0000e+00	1.9356e+01	9.9991e-01	2.5073e-01	9.9999e-01	6.4791e+00	
7.0000e+00	0.0000e+00	5.0004e-01	1.2920e+01	0.0000e+00	2.5840e+01	9.9992e-01	2.2033e-01	9.9999e-01	7.3041e+00	
8.0000e+00	0.0000e+00	5.0005e-01	1.6575e+01	0.0000e+00	3.3150e+01	9.9992e-01	1.9673e-01	9.9999e-01	8.1204e+00	
9.0000e+00	0.0000e+00	5.0005e-01	2.0639e+01	0.0000e+00	4.1277e+01	9.9993e-01	1.7784e-01	9.9999e-01	8.9299e+00	
1.0000e+01	0.0000e+00	5.0006e-01	2.5108e+01	0.0000e+00	5.0215e+01	9.9993e-01	1.6236e-01	9.9999e-01	9.7339e+00	
1.1000e+01	0.0000e+00	5.0007e-01	2.9979e+01	0.0000e+00	5.9958e+01	9.9993e-01	1.4942e-01	9.9999e-01	1.0533e+01	
1.2000e+01	0.0000e+00	5.0007e-01	3.5250e+01	0.0000e+00	7.0501e+01	9.9993e-01	1.3844e-01	9.9999e-01	1.1329e+01	
1.3000e+01	0.0000e+00	5.0008e-01	4.0920e+01	0.0000e+00	8.1841e+01	9.9994e-01	1.2900e-01	9.9999e-01	1.2121e+01	
1.4000e+01	0.0000e+00	5.0009e-01	4.6987e+01	0.0000e+00	9.3974e+01	9.9994e-01	1.2079e-01	9.9999e-01	1.2911e+01	
1.5000e+01	0.0000e+00	5.0009e-01	5.3449e+01	0.0000e+00	1.0690e+02	9.9994e-01	1.1359e-01	9.9999e-01	1.3698e+01	
1.6000e+01	0.0000e+00	5.0010e-01	6.0305e+01	0.0000e+00	1.2061e+02	9.9994e-01	1.0721e-01	9.9999e-01	1.4483e+01	
1.7000e+01	0.0000e+00	5.0011e-01	6.7554e+01	0.0000e+00	1.3511e+02	9.9994e-01	1.0153e-01	9.9999e-01	1.5266e+01	
1.8000e+01	0.0000e+00	5.0011e-01	7.5195e+01	0.0000e+00	1.5039e+02	9.9995e-01	9.6427e-02	9.9999e-01	1.6048e+01	
1.9000e+01	0.0000e+00	5.0012e-01	8.3227e+01	0.0000e+00	1.6645e+02	9.9995e-01	9.1821e-02	9.9999e-01	1.6827e+01	
2.0000e+01	0.0000e+00	5.0013e-01	9.1650e+01	0.0000e+00	1.8330e+02	9.9995e-01	8.7643e-02	9.9999e-01	1.7606e+01	
2.1000e+01	0.0000e+00	5.0013e-01	1.0046e+02	0.0000e+00	2.0093e+02	9.9995e-01	8.3834e-02	9.9999e-01	1.8383e+01	
2.2000e+01	0.0000e+00	5.0014e-01	1.0966e+02	0.0000e+00	2.1933e+02	9.9995e-01	8.0348e-02	9.9999e-01	1.9159e+01	
2.3000e+01	0.0000e+00	5.0015e-01	1.1925e+02	0.0000e+00	2.3851e+02	9.9995e-01	7.7144e-02	9.9999e-01	1.9934e+01	
2.4000e+01	0.0000e+00	5.0015e-01	1.2923e+02	0.0000e+00	2.5847e+02	9.9995e-01	7.4189e-02	9.9999e-01	2.0708e+01	
2.5000e+01	0.0000e+00	5.0016e-01	1.3960e+02	0.0000e+00	2.7920e+02	9.9995e-01	7.1456e-02	9.9999e-01	2.1481e+01	
2.6000e+01	0.0000e+00	5.0017e-01	1.5035e+02	0.0000e+00	3.0071e+02	9.9995e-01	6.8919e-02	9.9999e-01	2.2253e+01	
2.7000e+01	0.0000e+00	5.0017e-01	1.6149e+02	0.0000e+00	3.2299e+02	9.9996e-01	6.6559e-02	9.9999e-01	2.3025e+01	
2.8000e+01	0.0000e+00	5.0018e-01	1.7302e+02	0.0000e+00	3.4604e+02	9.9996e-01	6.4357e-02	9.9999e-01	2.3795e+01	
2.9000e+01	0.0000e+00	5.0018e-01	1.8493e+02	0.0000e+00	3.6986e+02	9.9996e-01	6.2298e-02	9.9999e-01	2.4565e+01	
3.0000e+01	0.0000e+00	5.0019e-01	1.9723e+02	0.0000e+00	3.9446e+02	9.9996e-01	6.0368e-02	9.9999e-01	2.5335e+01	
3.1000e+01	0.0000e+00	5.0020e-01	2.0991e+02	0.0000e+00	4.1983e+02	9.9996e-01	5.8555e-02	9.9999e-01	2.6104e+01	
3.2000e+01	0.0000e+00	5.0020e-01	2.2298e+02	0.0000e+00	4.4596e+02	9.9996e-01	5.6849e-02	9.9999e-01	2.6872e+01	
3.3000e+01	0.0000e+00	5.0021e-01	2.3643e+02	0.0000e+00	4.7287e+02	9.9996e-01	5.5241e-02	9.9999e-01	2.7640e+01	
3.4000e+01	0.0000e+00	5.0022e-01	2.5027e+02	0.0000e+00	5.0055e+02	9.9996e-01	5.3722e-02	9.9999e-01	2.8407e+01	
3.5000e+01	0.0000e+00	5.0022e-01	2.6450e+02	0.0000e+00	5.2899e+02	9.9996e-01	5.2286e-02	9.9999e-01	2.9174e+01	
3.6000e+01	0.0000e+00	5.0023e-01	2.7910e+02	0.0000e+00	5.5820e+02	9.9996e-01	5.0925e-02	9.9999e-01	2.9940e+01	
3.7000e+01	0.0000e+00	5.0023e-01	2.9409e+02	0.0000e+00	5.8818e+02	9.9996e-01	4.9633e-02	9.9999e-01	3.0706e+01	
3.8000e+01	0.0000e+00	5.0024e-01	3.0947e+02	0.0000e+00	6.1893e+02	9.9996e-01	4.8407e-02	9.9999e-01	3.1471e+01	
3.9000e+01	0.0000e+00	5.0025e-01	3.2522e+02	0.0000e+00	6.5045e+02	9.9996e-01	4.7240e-02	9.9999e-01	3.2237e+01	
4.0000e+01	0.0000e+00	5.0025e-01	3.4136e+02	0.0000e+00	6.8273e+02	9.9996e-01	4.6128e-02	9.9999e-01	3.3001e+01	
4.1000e+01	0.0000e+00	5.0026e-01	3.5789e+02	0.0000e+00	7.1577e+02	9.9997e-01	4.5068e-02	9.9999e-01	3.3766e+01	
4.2000e+01	0.0000e+00	5.0026e-01	3.7479e+02	0.0000e+00	7.4959e+02	9.9997e-01	4.4056e-02	9.9999e-01	3.4530e+01	
4.3000e+01	0.0000e+00	5.0027e-01	3.9208e+02	0.0000e+00	7.8417e+02	9.9997e-01	4.3089e-02	9.9999e-01	3.5294e+01	
4.4000e+01	0.0000e+00	5.0028e-01	4.0976e+02	0.0000e+00	8.1951e+02	9.9997e-01	4.2164e-02	9.9999e-01	3.6057e+01	
4.5000e+01	0.0000e+00	5.0028e-01	4.2781e+02	0.0000e+00	8.5562e+02	9.9997e-01	4.1278e-02	9.9999e-01	3.6820e+01	
4.6000e+01	0.0000e+00	5.0029e-01	4.4625e+02	0.0000e+00	8.9250e+02	9.9997e-01	4.0429e-02	9.9999e-01	3.7583e+01	
4.7000e+01	0.0000e+00	5.0029e-01	4.6507e+02	0.0000e+00	9.3013e+02	9.9997e-01	3.9614e-02	9.9999e-01	3.8346e+01	
4.8000e+01	0.0000e+00	5.0030e-01	4.8427e+02	0.0000e+00	9.6854e+02	9.9997e-01	3.8832e-02	9.9999e-01	3.9108e+01	
4.9000e+01	0.0000e+00	5.0030e-01	5.0385e+02	0.0000e+00	1.0077e+03	9.9997e-01	3.8080e-02	9.9999e-01	3.9870e+01	
5.0000e+01	0.0000e+00	5.0031e-01	5.2382e+02	0.0000e+00	1.0476e+03	9.9997e-01	3.7357e-02	9.9999e-01	4.0632e+01	
5.1000e+01	0.0000e+00	5.0031e-01	5.4417e+02	0.0000e+00	1.0883e+03	9.9997e-01	3.6661e-02	9.9999e-01	4.1394e+01	
5.2000e+01	0.0000e+00	5.0032e-01	5.6489e+02	0.0000e+00	1.1298e+03	9.9997e-01	3.5991e-02	9.9999e-01	4.2155e+01	
5.3000e+01	0.0000e+00	5.0033e-01	5.8600e+02	0.0000e+00	1.1720e+03	9.9997e-01	3.5345e-02	9.9999e-01	4.2917e+01	
5.4000e+01	0.0000e+00	5.0033e-01	6.0750e+02	0.0000e+00	1.2150e+03	9.9997e-01	3.4722e-02	9.9999e-01	4.3678e+01	
5.5000e+01	0.0000e+00	5.0034e-01	6.2937e+02	0.0000e+00	1.2587e+03	9.9997e-01	3.4121e-02	9.9999e-01	4.4439e+01	
