k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.9422e-01	9.9999e-01	1.0000e+00	1.9989e+00	
2.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.0058e+00	9.9108e-01	5.7677e-01	1.0000e+00	2.7320e+00	
3.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.7475e+00	9.9143e-01	4.1703e-01	1.0000e+00	3.3953e+00	
4.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.1560e+00	9.9168e-01	3.3038e-01	1.0000e+00	4.0234e+00	
5.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.2196e+01	9.9185e-01	2.7519e-01	1.0000e+00	4.6297e+00	
6.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.6845e+01	9.9198e-01	2.3663e-01	1.0000e+00	5.2211e+00	
7.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.2088e+01	9.9208e-01	2.0803e-01	1.0000e+00	5.8015e+00	
8.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.7915e+01	9.9217e-01	1.8589e-01	1.0000e+00	6.3734e+00	
9.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.4316e+01	9.9224e-01	1.6820e-01	1.0000e+00	6.9385e+00	
1.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.1286e+01	9.9230e-01	1.5371e-01	1.0000e+00	7.4982e+00	
1.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.8818e+01	9.9235e-01	1.4161e-01	1.0000e+00	8.0533e+00	
1.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.6907e+01	9.9240e-01	1.3135e-01	1.0000e+00	8.6045e+00	
1.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.5551e+01	9.9245e-01	1.2252e-01	1.0000e+00	9.1523e+00	
1.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.4745e+01	9.9250e-01	1.1484e-01	1.0000e+00	9.6973e+00	
1.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.4487e+01	9.9254e-01	1.0810e-01	1.0000e+00	1.0240e+01	
1.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.4774e+01	9.9259e-01	1.0213e-01	1.0000e+00	1.0780e+01	
1.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0560e+02	9.9264e-01	9.6803e-02	1.0000e+00	1.1318e+01	
1.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.1697e+02	9.9269e-01	9.2020e-02	1.0000e+00	1.1855e+01	
1.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.2888e+02	9.9273e-01	8.7699e-02	1.0000e+00	1.2389e+01	
2.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.4133e+02	9.9278e-01	8.3776e-02	1.0000e+00	1.2923e+01	
2.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.5432e+02	9.9282e-01	8.0198e-02	1.0000e+00	1.3455e+01	
2.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.6783e+02	9.9286e-01	7.6920e-02	1.0000e+00	1.3985e+01	
2.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.8188e+02	9.9290e-01	7.3906e-02	1.0000e+00	1.4515e+01	
2.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.9647e+02	9.9295e-01	7.1124e-02	1.0000e+00	1.5043e+01	
2.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.1158e+02	9.9299e-01	6.8549e-02	1.0000e+00	1.5571e+01	
2.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.2723e+02	9.9303e-01	6.6158e-02	1.0000e+00	1.6098e+01	
2.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.4340e+02	9.9307e-01	6.3931e-02	1.0000e+00	1.6623e+01	
2.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.6011e+02	9.9310e-01	6.1852e-02	1.0000e+00	1.7148e+01	
2.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.7734e+02	9.9313e-01	5.9907e-02	1.0000e+00	1.7673e+01	
3.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.9509e+02	9.9315e-01	5.8082e-02	1.0000e+00	1.8196e+01	
3.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.1338e+02	9.9317e-01	5.6368e-02	1.0000e+00	1.8719e+01	
3.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.3218e+02	9.9318e-01	5.4754e-02	1.0000e+00	1.9242e+01	
3.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.5152e+02	9.9318e-01	5.3231e-02	1.0000e+00	1.9763e+01	
3.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.7138e+02	9.9318e-01	5.1792e-02	1.0000e+00	2.0285e+01	
3.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.9176e+02	9.9318e-01	5.0430e-02	1.0000e+00	2.0805e+01	
3.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.1266e+02	9.9317e-01	4.9140e-02	1.0000e+00	2.1326e+01	
3.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.3409e+02	9.9316e-01	4.7914e-02	1.0000e+00	2.1846e+01	
3.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.5604e+02	9.9315e-01	4.6750e-02	1.0000e+00	2.2365e+01	
3.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.7851e+02	9.9313e-01	4.5641e-02	1.0000e+00	2.2884e+01	
4.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.0151e+02	9.9312e-01	4.4585e-02	1.0000e+00	2.3403e+01	
4.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.2502e+02	9.9311e-01	4.3577e-02	1.0000e+00	2.3921e+01	
4.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.4906e+02	9.9310e-01	4.2614e-02	1.0000e+00	2.4439e+01	
4.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.7361e+02	9.9310e-01	4.1694e-02	1.0000e+00	2.4957e+01	
4.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.9869e+02	9.9310e-01	4.0813e-02	1.0000e+00	2.5474e+01	
4.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.2429e+02	9.9310e-01	3.9969e-02	1.0000e+00	2.5991e+01	
4.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.5040e+02	9.9310e-01	3.9160e-02	1.0000e+00	2.6507e+01	
4.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.7704e+02	9.9311e-01	3.8383e-02	1.0000e+00	2.7024e+01	
4.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.0419e+02	9.9311e-01	3.7637e-02	1.0000e+00	2.7540e+01	
4.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.3186e+02	9.9312e-01	3.6919e-02	1.0000e+00	2.8055e+01	
5.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.6005e+02	9.9312e-01	3.6229e-02	1.0000e+00	2.8571e+01	
5.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.8876e+02	9.9312e-01	3.5565e-02	1.0000e+00	2.9086e+01	
5.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.1799e+02	9.9310e-01	3.4924e-02	1.0000e+00	2.9601e+01	
5.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.4773e+02	9.9307e-01	3.4307e-02	1.0000e+00	3.0116e+01	
5.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.7799e+02	9.9301e-01	3.3711e-02	1.0000e+00	3.0630e+01	
5.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.0877e+02	9.9291e-01	3.3136e-02	1.0000e+00	3.1145e+01	
5.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.4007e+02	9.9274e-01	3.2580e-02	1.0000e+00	3.1659e+01	
5.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.7188e+02	9.9258e-01	3.2043e-02	1.0000e+00	3.2173e+01	
5.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0042e+03	9.9253e-01	3.1523e-02	1.0000e+00	3.2686e+01	
5.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0371e+03	9.9264e-01	3.1021e-02	1.0000e+00	3.3200e+01	
6.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0704e+03	9.9281e-01	3.0534e-02	1.0000e+00	3.3713e+01	
6.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.1043e+03	9.9297e-01	3.0062e-02	1.0000e+00	3.4226e+01	
6.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.1387e+03	9.9310e-01	2.9605e-02	1.0000e+00	3.4739e+01	
6.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.1736e+03	9.9320e-01	2.9161e-02	1.0000e+00	3.5251e+01	
6.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.2090e+03	9.9326e-01	2.8731e-02	1.0000e+00	3.5764e+01	
6.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.2450e+03	9.9330e-01	2.8314e-02	1.0000e+00	3.6276e+01	
6.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.2814e+03	9.9333e-01	2.7908e-02	1.0000e+00	3.6788e+01	
6.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.3184e+03	9.9337e-01	2.7514e-02	1.0000e+00	3.7300e+01	
6.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.3559e+03	9.9341e-01	2.7131e-02	1.0000e+00	3.7812e+01	
6.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.3939e+03	9.9345e-01	2.6759e-02	1.0000e+00	3.8323e+01	
7.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.4324e+03	9.9348e-01	2.6397e-02	1.0000e+00	3.8835e+01	
7.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.4714e+03	9.9349e-01	2.6044e-02	1.0000e+00	3.9346e+01	
7.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.5109e+03	9.9350e-01	2.5702e-02	1.0000e+00	3.9858e+01	
7.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.5510e+03	9.9349e-01	2.5368e-02	1.0000e+00	4.0369e+01	
7.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.5916e+03	9.9347e-01	2.5043e-02	1.0000e+00	4.0880e+01	
7.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.6326e+03	9.9344e-01	2.4726e-02	1.0000e+00	4.1391e+01	
7.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.6742e+03	9.9339e-01	2.4417e-02	1.0000e+00	4.1903e+01	
7.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.7163e+03	9.9333e-01	2.4116e-02	1.0000e+00	4.2414e+01	
7.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.7590e+03	9.9326e-01	2.3822e-02	1.0000e+00	4.2925e+01	
7.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.8021e+03	9.9319e-01	2.3536e-02	1.0000e+00	4.3436e+01	
8.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.8457e+03	9.9315e-01	2.3256e-02	1.0000e+00	4.3946e+01	
8.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.8899e+03	9.9314e-01	2.2983e-02	1.0000e+00	4.4457e+01	
8.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.9346e+03	9.9315e-01	2.2716e-02	1.0000e+00	4.4967e+01	
8.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.9798e+03	9.9317e-01	2.2455e-02	1.0000e+00	4.5477e+01	
8.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.0255e+03	9.9320e-01	2.2201e-02	1.0000e+00	4.5987e+01	
8.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.0717e+03	9.9325e-01	2.1952e-02	1.0000e+00	4.6497e+01	
8.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.1184e+03	9.9330e-01	2.1708e-02	1.0000e+00	4.7007e+01	
8.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.1656e+03	9.9315e-01	2.1470e-02	1.0000e+00	4.7517e+01	
8.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.2134e+03	9.9316e-01	2.1237e-02	1.0000e+00	4.8027e+01	
8.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.2616e+03	9.9304e-01	2.1010e-02	1.0000e+00	4.8537e+01	
9.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.3104e+03	9.9306e-01	2.0787e-02	1.0000e+00	4.9046e+01	
9.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.3597e+03	9.9291e-01	2.0569e-02	1.0000e+00	4.9556e+01	
9.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.4095e+03	9.9303e-01	2.0355e-02	1.0000e+00	5.0065e+01	
9.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.4598e+03	9.9279e-01	2.0146e-02	1.0000e+00	5.0575e+01	
9.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.5106e+03	9.9302e-01	1.9941e-02	1.0000e+00	5.1084e+01	
9.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.5620e+03	9.9286e-01	1.9740e-02	1.0000e+00	5.1593e+01	
9.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.6138e+03	9.9269e-01	1.9544e-02	1.0000e+00	5.2102e+01	
9.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.6662e+03	9.9252e-01	1.9351e-02	1.0000e+00	5.2611e+01	
