k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.9996e-01	1.0000e+00	1.0000e+00	1.9997e+00	
2.0000e+00	1.0552e-06	5.0000e-01	9.9937e-01	-9.7660e-04	2.0014e+00	9.9992e-01	5.9981e-01	1.0000e+00	2.9996e+00	
3.0000e+00	1.0433e-06	5.0000e-01	2.4985e+00	-1.5871e-03	5.0037e+00	9.9992e-01	4.3899e-01	1.0000e+00	3.9152e+00	
4.0000e+00	1.0744e-06	5.0001e-01	4.4559e+00	-2.1512e-03	8.9225e+00	9.9992e-01	3.4938e-01	1.0000e+00	4.7911e+00	
5.0000e+00	1.0798e-06	5.0001e-01	6.8515e+00	-2.6828e-03	1.3718e+01	9.9993e-01	2.9148e-01	1.0000e+00	5.6435e+00	
6.0000e+00	1.0859e-06	5.0001e-01	9.6732e+00	-3.2018e-03	1.9367e+01	9.9993e-01	2.5071e-01	1.0000e+00	6.4800e+00	
7.0000e+00	1.0889e-06	5.0002e-01	1.2913e+01	-3.7111e-03	2.5854e+01	9.9993e-01	2.2031e-01	1.0000e+00	7.3051e+00	
8.0000e+00	1.0911e-06	5.0002e-01	1.6566e+01	-4.2153e-03	3.3166e+01	9.9993e-01	1.9671e-01	1.0000e+00	8.1215e+00	
9.0000e+00	1.0955e-06	5.0002e-01	2.0627e+01	-4.7185e-03	4.1296e+01	9.9993e-01	1.7782e-01	1.0000e+00	8.9312e+00	
1.0000e+01	1.1005e-06	5.0002e-01	2.5093e+01	-5.2208e-03	5.0236e+01	9.9993e-01	1.6234e-01	1.0000e+00	9.7353e+00	
1.1000e+01	1.1055e-06	5.0003e-01	2.9961e+01	-5.7230e-03	5.9982e+01	9.9993e-01	1.4940e-01	1.0000e+00	1.0535e+01	
1.2000e+01	1.1103e-06	5.0003e-01	3.5229e+01	-6.2252e-03	7.0528e+01	9.9993e-01	1.3843e-01	1.0000e+00	1.1331e+01	
1.3000e+01	1.1143e-06	5.0003e-01	4.0896e+01	-6.7246e-03	8.1871e+01	9.9993e-01	1.2899e-01	1.0000e+00	1.2123e+01	
1.4000e+01	1.1170e-06	5.0004e-01	4.6958e+01	-7.2182e-03	9.4008e+01	9.9993e-01	1.2078e-01	1.0000e+00	1.2913e+01	
1.5000e+01	1.1185e-06	5.0004e-01	5.3416e+01	-7.7059e-03	1.0693e+02	9.9993e-01	1.1358e-01	1.0000e+00	1.3700e+01	
1.6000e+01	1.1195e-06	5.0004e-01	6.0267e+01	-8.1894e-03	1.2065e+02	9.9993e-01	1.0720e-01	1.0000e+00	1.4486e+01	
1.7000e+01	1.1200e-06	5.0004e-01	6.7512e+01	-8.6693e-03	1.3515e+02	9.9993e-01	1.0152e-01	1.0000e+00	1.5269e+01	
1.8000e+01	1.1200e-06	5.0005e-01	7.5147e+01	-9.1446e-03	1.5044e+02	9.9993e-01	9.6414e-02	1.0000e+00	1.6050e+01	
