k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	gammakp	
1.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	2.8000e-10	1.0000e+00	1.0000e+00	-7.6507e-11	2.0000e+00	
2.0000e+00	0.0000e+00	5.0000e-01	-1.0000e+00	0.0000e+00	2.0000e+00	3.8197e-01	6.1803e-01	1.0000e+00	-6.9971e-11	3.2361e+00	
3.0000e+00	0.0000e+00	5.0000e-01	-2.6180e+00	0.0000e+00	5.2361e+00	5.4411e-01	4.5589e-01	1.0000e+00	-6.9838e-11	4.3871e+00	
4.0000e+00	0.0000e+00	5.0000e-01	-4.8116e+00	0.0000e+00	9.6231e+00	6.3634e-01	3.6366e-01	1.0000e+00	-6.9855e-11	5.4996e+00	
5.0000e+00	0.0000e+00	5.0000e-01	-7.5614e+00	0.0000e+00	1.5123e+01	6.9650e-01	3.0350e-01	1.0000e+00	-6.9955e-11	6.5898e+00	
6.0000e+00	0.0000e+00	5.0000e-01	-1.0856e+01	0.0000e+00	2.1712e+01	7.3908e-01	2.6092e-01	1.0000e+00	-7.0094e-11	7.6652e+00	
7.0000e+00	0.0000e+00	5.0000e-01	-1.4689e+01	0.0000e+00	2.9378e+01	7.7091e-01	2.2909e-01	1.0000e+00	-7.0255e-11	8.7302e+00	
8.0000e+00	0.0000e+00	5.0000e-01	-1.9054e+01	0.0000e+00	3.8108e+01	7.9565e-01	2.0435e-01	1.0000e+00	-7.0424e-11	9.7872e+00	
9.0000e+00	0.0000e+00	5.0000e-01	-2.3948e+01	0.0000e+00	4.7895e+01	8.1547e-01	1.8453e-01	1.0000e+00	-7.0583e-11	1.0838e+01	
1.0000e+01	0.0000e+00	5.0000e-01	-2.9367e+01	0.0000e+00	5.8733e+01	8.3171e-01	1.6829e-01	1.0000e+00	-7.0719e-11	1.1884e+01	
1.1000e+01	0.0000e+00	5.0000e-01	-3.5309e+01	0.0000e+00	7.0617e+01	8.4528e-01	1.5472e-01	1.0000e+00	-7.0825e-11	1.2926e+01	
1.2000e+01	0.0000e+00	5.0000e-01	-4.1772e+01	0.0000e+00	8.3544e+01	8.5678e-01	1.4322e-01	1.0000e+00	-7.0903e-11	1.3965e+01	
1.3000e+01	0.0000e+00	5.0000e-01	-4.8754e+01	0.0000e+00	9.7509e+01	8.6667e-01	1.3333e-01	1.0000e+00	-7.0955e-11	1.5001e+01	
1.4000e+01	0.0000e+00	5.0000e-01	-5.6255e+01	0.0000e+00	1.1251e+02	8.7526e-01	1.2474e-01	1.0000e+00	-7.0985e-11	1.6034e+01	
1.5000e+01	0.0000e+00	5.0000e-01	-6.4272e+01	0.0000e+00	1.2854e+02	8.8280e-01	1.1720e-01	1.0000e+00	-7.0991e-11	1.7065e+01	
1.6000e+01	0.0000e+00	5.0000e-01	-7.2804e+01	0.0000e+00	1.4561e+02	8.8947e-01	1.1053e-01	1.0000e+00	-7.0974e-11	1.8094e+01	
1.7000e+01	0.0000e+00	5.0000e-01	-8.1851e+01	0.0000e+00	1.6370e+02	8.9541e-01	1.0459e-01	1.0000e+00	-7.0939e-11	1.9122e+01	
1.8000e+01	0.0000e+00	5.0000e-01	-9.1412e+01	0.0000e+00	1.8282e+02	9.0073e-01	9.9265e-02	1.0000e+00	-7.0895e-11	2.0148e+01	
1.9000e+01	0.0000e+00	5.0000e-01	-1.0149e+02	0.0000e+00	2.0297e+02	9.0554e-01	9.4460e-02	1.0000e+00	-7.0855e-11	2.1173e+01	
2.0000e+01	0.0000e+00	5.0000e-01	-1.1207e+02	0.0000e+00	2.2415e+02	9.0990e-01	9.0104e-02	1.0000e+00	-7.0833e-11	2.2196e+01	
2.1000e+01	0.0000e+00	5.0000e-01	-1.2317e+02	0.0000e+00	2.4634e+02	9.1386e-01	8.6136e-02	1.0000e+00	-7.0840e-11	2.3219e+01	
2.2000e+01	0.0000e+00	5.0000e-01	-1.3478e+02	0.0000e+00	2.6956e+02	9.1749e-01	8.2506e-02	1.0000e+00	-7.0871e-11	2.4241e+01	
2.3000e+01	0.0000e+00	5.0000e-01	-1.4690e+02	0.0000e+00	2.9380e+02	9.2083e-01	7.9173e-02	1.0000e+00	-7.0922e-11	2.5261e+01	
2.4000e+01	0.0000e+00	5.0000e-01	-1.5953e+02	0.0000e+00	3.1906e+02	9.2390e-01	7.6101e-02	1.0000e+00	-7.0987e-11	2.6281e+01	
2.5000e+01	0.0000e+00	5.0000e-01	-1.7267e+02	0.0000e+00	3.4534e+02	9.2674e-01	7.3260e-02	1.0000e+00	-7.1058e-11	2.7300e+01	
2.6000e+01	0.0000e+00	5.0000e-01	-1.8632e+02	0.0000e+00	3.7264e+02	9.2937e-01	7.0626e-02	1.0000e+00	-7.1141e-11	2.8318e+01	
