k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	gammakp	
1.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	7.6654e-06	9.9999e-01	1.0000e+00	-1.6278e-06	1.0065e+00	
2.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.9978e-01	3.8313e-01	6.1781e-01	1.0000e+00	-1.8161e-04	1.6185e+00	
3.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.6193e+00	5.4554e-01	4.5564e-01	1.0000e+00	-2.0645e-04	2.1944e+00	
4.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.8156e+00	6.3789e-01	3.6342e-01	1.0000e+00	-2.3628e-04	2.7511e+00	
5.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.5694e+00	6.9812e-01	3.0328e-01	1.0000e+00	-2.6775e-04	3.2966e+00	
6.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0870e+01	7.4075e-01	2.6071e-01	1.0000e+00	-2.9987e-04	3.8348e+00	
7.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.4709e+01	7.7260e-01	2.2889e-01	1.0000e+00	-3.3222e-04	4.3678e+00	
8.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.9081e+01	7.9735e-01	2.0416e-01	1.0000e+00	-3.6470e-04	4.8968e+00	
9.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.3984e+01	8.1717e-01	1.8436e-01	1.0000e+00	-3.9735e-04	5.4228e+00	
1.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.9413e+01	8.3342e-01	1.6813e-01	1.0000e+00	-4.3013e-04	5.9463e+00	
1.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.5366e+01	8.4699e-01	1.5457e-01	1.0000e+00	-4.6295e-04	6.4678e+00	
1.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.1842e+01	8.5851e-01	1.4307e-01	1.0000e+00	-4.9579e-04	6.9876e+00	
1.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.8838e+01	8.6840e-01	1.3319e-01	1.0000e+00	-5.2873e-04	7.5060e+00	
1.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.6354e+01	8.7699e-01	1.2461e-01	1.0000e+00	-5.6191e-04	8.0232e+00	
1.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.4387e+01	8.8451e-01	1.1708e-01	1.0000e+00	-5.9545e-04	8.5392e+00	
1.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.2937e+01	8.9116e-01	1.1041e-01	1.0000e+00	-6.2950e-04	9.0544e+00	
1.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.2003e+01	8.9709e-01	1.0448e-01	1.0000e+00	-6.6419e-04	9.5687e+00	
1.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.1583e+01	9.0240e-01	9.9157e-02	1.0000e+00	-6.9980e-04	1.0082e+01	
1.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0168e+02	9.0719e-01	9.4357e-02	1.0000e+00	-7.3679e-04	1.0595e+01	
2.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.1229e+02	9.1153e-01	9.0005e-02	1.0000e+00	-7.7598e-04	1.1108e+01	
2.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.2341e+02	9.1548e-01	8.6040e-02	1.0000e+00	-8.1847e-04	1.1619e+01	
2.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.3504e+02	9.1907e-01	8.2414e-02	1.0000e+00	-8.6471e-04	1.2131e+01	
2.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.4719e+02	9.2233e-01	7.9083e-02	1.0000e+00	-9.1035e-04	1.2641e+01	
2.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.5985e+02	9.2541e-01	7.6014e-02	1.0000e+00	-9.4439e-04	1.3152e+01	
2.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.7302e+02	9.2832e-01	7.3176e-02	1.0000e+00	-9.6701e-04	1.3662e+01	
2.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.8670e+02	9.3100e-01	7.0544e-02	1.0000e+00	-9.8803e-04	1.4172e+01	
2.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.0089e+02	9.3349e-01	6.8097e-02	1.0000e+00	-1.0112e-03	1.4681e+01	
2.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.1559e+02	9.3580e-01	6.5815e-02	1.0000e+00	-1.0367e-03	1.5190e+01	
2.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.3080e+02	9.3795e-01	6.3682e-02	1.0000e+00	-1.0638e-03	1.5699e+01	
3.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.4652e+02	9.3997e-01	6.1684e-02	1.0000e+00	-1.0919e-03	1.6207e+01	
3.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.6274e+02	9.4187e-01	5.9808e-02	1.0000e+00	-1.1208e-03	1.6715e+01	
3.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.7948e+02	9.4365e-01	5.8044e-02	1.0000e+00	-1.1500e-03	1.7223e+01	
3.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	2.9673e+02	9.4533e-01	5.6382e-02	1.0000e+00	-1.1797e-03	1.7731e+01	
3.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.1448e+02	9.4692e-01	5.4813e-02	1.0000e+00	-1.2096e-03	1.8239e+01	
3.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.3275e+02	9.4841e-01	5.3329e-02	1.0000e+00	-1.2399e-03	1.8746e+01	
3.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.5152e+02	9.4983e-01	5.1924e-02	1.0000e+00	-1.2707e-03	1.9253e+01	
3.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.7080e+02	9.5116e-01	5.0592e-02	1.0000e+00	-1.3018e-03	1.9760e+01	
3.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	3.9058e+02	9.5243e-01	4.9327e-02	1.0000e+00	-1.3333e-03	2.0267e+01	
3.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.1088e+02	9.5364e-01	4.8124e-02	1.0000e+00	-1.3652e-03	2.0774e+01	
4.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.3168e+02	9.5479e-01	4.6978e-02	1.0000e+00	-1.3973e-03	2.1281e+01	
4.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.5299e+02	9.5588e-01	4.5886e-02	1.0000e+00	-1.4296e-03	2.1787e+01	
4.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.7480e+02	9.5692e-01	4.4844e-02	1.0000e+00	-1.4621e-03	2.2293e+01	
4.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	4.9712e+02	9.5791e-01	4.3848e-02	1.0000e+00	-1.4947e-03	2.2799e+01	
4.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.1995e+02	9.5887e-01	4.2896e-02	1.0000e+00	-1.5273e-03	2.3305e+01	
4.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.4329e+02	9.5978e-01	4.1985e-02	1.0000e+00	-1.5599e-03	2.3811e+01	
4.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.6713e+02	9.6065e-01	4.1112e-02	1.0000e+00	-1.5925e-03	2.4317e+01	
4.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	5.9148e+02	9.6149e-01	4.0274e-02	1.0000e+00	-1.6251e-03	2.4823e+01	
4.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.1634e+02	9.6230e-01	3.9470e-02	1.0000e+00	-1.6576e-03	2.5328e+01	
4.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.4170e+02	9.6307e-01	3.8698e-02	1.0000e+00	-1.6900e-03	2.5834e+01	
5.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.6757e+02	9.6382e-01	3.7956e-02	1.0000e+00	-1.7224e-03	2.6339e+01	
5.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	6.9394e+02	9.6453e-01	3.7241e-02	1.0000e+00	-1.7545e-03	2.6844e+01	
5.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.2082e+02	9.6522e-01	3.6553e-02	1.0000e+00	-1.7866e-03	2.7350e+01	
5.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.4821e+02	9.6589e-01	3.5890e-02	1.0000e+00	-1.8185e-03	2.7855e+01	
5.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	7.7610e+02	9.6653e-01	3.5251e-02	1.0000e+00	-1.8502e-03	2.8360e+01	
5.5000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.0450e+02	9.6714e-01	3.4635e-02	1.0000e+00	-1.8816e-03	2.8865e+01	
5.6000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.3340e+02	9.6773e-01	3.4039e-02	1.0000e+00	-1.9129e-03	2.9370e+01	
5.7000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.6281e+02	9.6831e-01	3.3464e-02	1.0000e+00	-1.9439e-03	2.9874e+01	
5.8000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	8.9273e+02	9.6885e-01	3.2908e-02	1.0000e+00	-1.9746e-03	3.0379e+01	
5.9000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.2315e+02	9.6938e-01	3.2370e-02	1.0000e+00	-2.0050e-03	3.0884e+01	
6.0000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.5407e+02	9.6989e-01	3.1850e-02	1.0000e+00	-2.0353e-03	3.1388e+01	
6.1000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	9.8550e+02	9.7039e-01	3.1346e-02	1.0000e+00	-2.0652e-03	3.1893e+01	
6.2000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0174e+03	9.7087e-01	3.0858e-02	1.0000e+00	-2.0948e-03	3.2397e+01	
6.3000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0499e+03	9.7133e-01	3.0385e-02	1.0000e+00	-2.1240e-03	3.2902e+01	
6.4000e+01	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	1.0828e+03	9.7179e-01	2.9926e-02	1.0000e+00	-2.1527e-03	3.3406e+01	
