k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	gammakp	
1.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.7185e-10	1.0000e+00	1.0000e+00	-4.4621e-11	2.0000e+00	
2.0000e+00	-3.4063e-11	5.0000e-01	-1.5000e+00	5.0000e-01	1.0000e+00	3.8197e-01	6.1803e-01	1.0000e+00	-6.2196e-10	3.2361e+00	
3.0000e+00	-3.4019e-11	5.0000e-01	-3.4271e+00	8.0903e-01	3.6180e+00	5.4411e-01	4.5589e-01	1.0000e+00	-1.0538e-09	4.3871e+00	
4.0000e+00	-3.3990e-11	5.0000e-01	-5.9083e+00	1.0968e+00	7.4296e+00	6.3634e-01	3.6366e-01	1.0000e+00	-1.4296e-09	5.4996e+00	
5.0000e+00	-3.3943e-11	5.0000e-01	-8.9363e+00	1.3749e+00	1.2373e+01	6.9650e-01	3.0350e-01	1.0000e+00	-1.7860e-09	6.5898e+00	
6.0000e+00	-3.3887e-11	5.0000e-01	-1.2504e+01	1.6475e+00	1.8418e+01	7.3908e-01	2.6092e-01	1.0000e+00	-2.1323e-09	7.6652e+00	
7.0000e+00	-3.3826e-11	5.0000e-01	-1.6605e+01	1.9163e+00	2.5545e+01	7.7091e-01	2.2909e-01	1.0000e+00	-2.4768e-09	8.7302e+00	
8.0000e+00	-3.3767e-11	5.0000e-01	-2.1237e+01	2.1829e+00	3.3742e+01	7.9565e-01	2.0435e-01	1.0000e+00	-2.8224e-09	9.7872e+00	
9.0000e+00	-3.3704e-11	5.0000e-01	-2.6395e+01	2.4471e+00	4.3001e+01	8.1547e-01	1.8453e-01	1.0000e+00	-3.1804e-09	1.0838e+01	
1.0000e+01	-3.3633e-11	5.0000e-01	-3.2076e+01	2.7095e+00	5.3314e+01	8.3171e-01	1.6829e-01	1.0000e+00	-3.5370e-09	1.1884e+01	
1.1000e+01	-3.3556e-11	5.0000e-01	-3.8280e+01	2.9714e+00	6.4675e+01	8.4528e-01	1.5472e-01	1.0000e+00	-3.8709e-09	1.2926e+01	
1.2000e+01	-3.3476e-11	5.0000e-01	-4.5004e+01	3.2321e+00	7.7080e+01	8.5678e-01	1.4322e-01	1.0000e+00	-4.1807e-09	1.3965e+01	
1.3000e+01	-3.3395e-11	5.0000e-01	-5.2246e+01	3.4922e+00	9.0524e+01	8.6667e-01	1.3333e-01	1.0000e+00	-4.4807e-09	1.5001e+01	
1.4000e+01	-3.3316e-11	5.0000e-01	-6.0006e+01	3.7515e+00	1.0501e+02	8.7526e-01	1.2474e-01	1.0000e+00	-4.7836e-09	1.6034e+01	
1.5000e+01	-3.3239e-11	5.0000e-01	-6.8281e+01	4.0092e+00	1.2052e+02	8.8280e-01	1.1720e-01	1.0000e+00	-5.0935e-09	1.7065e+01	
1.6000e+01	-3.3162e-11	5.0000e-01	-7.7071e+01	4.2671e+00	1.3707e+02	8.8947e-01	1.1053e-01	1.0000e+00	-5.4072e-09	1.8094e+01	
1.7000e+01	-3.3087e-11	5.0000e-01	-8.6376e+01	4.5247e+00	1.5465e+02	8.9541e-01	1.0459e-01	1.0000e+00	-5.7192e-09	1.9122e+01	
1.8000e+01	-3.3012e-11	5.0000e-01	-9.6197e+01	4.7843e+00	1.7326e+02	9.0073e-01	9.9265e-02	1.0000e+00	-6.0246e-09	2.0148e+01	
1.9000e+01	-3.2938e-11	5.0000e-01	-1.0653e+02	5.0396e+00	1.9289e+02	9.0554e-01	9.4460e-02	1.0000e+00	-6.3212e-09	2.1173e+01	
2.0000e+01	-3.2863e-11	5.0000e-01	-1.1737e+02	5.2959e+00	2.1355e+02	9.0990e-01	9.0104e-02	1.0000e+00	-6.6099e-09	2.2196e+01	
2.1000e+01	-3.2787e-11	5.0000e-01	-1.2873e+02	5.5544e+00	2.3523e+02	9.1386e-01	8.6136e-02	1.0000e+00	-6.8932e-09	2.3219e+01	
2.2000e+01	-3.2711e-11	5.0000e-01	-1.4059e+02	5.8053e+00	2.5795e+02	9.1749e-01	8.2506e-02	1.0000e+00	-7.1742e-09	2.4241e+01	
2.3000e+01	-3.2633e-11	5.0000e-01	-1.5296e+02	6.0629e+00	2.8168e+02	9.2083e-01	7.9173e-02	1.0000e+00	-7.4557e-09	2.5261e+01	
2.4000e+01	-3.2554e-11	5.0000e-01	-1.6585e+02	6.3179e+00	3.0643e+02	9.2390e-01	7.6101e-02	1.0000e+00	-7.7393e-09	2.6281e+01	
2.5000e+01	-3.2473e-11	5.0000e-01	-1.7925e+02	6.5747e+00	3.3219e+02	9.2674e-01	7.3260e-02	1.0000e+00	-8.0260e-09	2.7300e+01	
2.6000e+01	-3.2390e-11	5.0000e-01	-1.9314e+02	6.8225e+00	3.5900e+02	9.2937e-01	7.0626e-02	1.0000e+00	-8.3157e-09	2.8318e+01	
2.7000e+01	-3.2304e-11	5.0000e-01	-2.0756e+02	7.0838e+00	3.8679e+02	9.3182e-01	6.8176e-02	1.0000e+00	-8.6079e-09	2.9336e+01	
2.8000e+01	-3.2216e-11	5.0000e-01	-2.2248e+02	7.3327e+00	4.1563e+02	9.3411e-01	6.5891e-02	1.0000e+00	-8.9019e-09	3.0353e+01	
2.9000e+01	-3.2125e-11	5.0000e-01	-2.3792e+02	7.5898e+00	4.4547e+02	9.3624e-01	6.3756e-02	1.0000e+00	-9.1970e-09	3.1369e+01	
