k	Q11	Q12	Q22	ak	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	-9.9998e-01	1.0000e+00	1.0000e+00	1.9998e+00	
2.0000e+00	0.0000e+00	0.0000e+00	9.9979e-01	5.0000e-01	1.9996e+00	-9.9997e-01	5.9990e-01	1.0000e+00	2.9998e+00	
3.0000e+00	0.0000e+00	0.0000e+00	2.5001e+00	5.0000e-01	5.0001e+00	-9.9997e-01	4.3908e-01	1.0000e+00	3.9155e+00	
4.0000e+00	0.0000e+00	0.0000e+00	4.4584e+00	5.0000e-01	8.9169e+00	-9.9998e-01	3.4946e-01	1.0000e+00	4.7914e+00	
5.0000e+00	0.0000e+00	0.0000e+00	6.8550e+00	5.0000e-01	1.3710e+01	-9.9998e-01	2.9156e-01	1.0000e+00	5.6436e+00	
6.0000e+00	0.0000e+00	0.0000e+00	9.6780e+00	5.0000e-01	1.9356e+01	-9.9998e-01	2.5078e-01	1.0000e+00	6.4801e+00	
7.0000e+00	0.0000e+00	0.0000e+00	1.2919e+01	5.0000e-01	2.5839e+01	-9.9998e-01	2.2038e-01	1.0000e+00	7.3051e+00	
8.0000e+00	0.0000e+00	0.0000e+00	1.6574e+01	5.0000e-01	3.3147e+01	-9.9998e-01	1.9677e-01	1.0000e+00	8.1215e+00	
9.0000e+00	0.0000e+00	0.0000e+00	2.0636e+01	5.0000e-01	4.1272e+01	-9.9998e-01	1.7788e-01	1.0000e+00	8.9310e+00	
1.0000e+01	0.0000e+00	0.0000e+00	2.5104e+01	5.0000e-01	5.0208e+01	-9.9998e-01	1.6239e-01	1.0000e+00	9.7351e+00	
1.1000e+01	0.0000e+00	0.0000e+00	2.9974e+01	5.0000e-01	5.9948e+01	-9.9998e-01	1.4945e-01	1.0000e+00	1.0535e+01	
1.2000e+01	0.0000e+00	0.0000e+00	3.5244e+01	5.0000e-01	7.0487e+01	-9.9999e-01	1.3847e-01	1.0000e+00	1.1330e+01	
1.3000e+01	0.0000e+00	0.0000e+00	4.0912e+01	5.0000e-01	8.1823e+01	-9.9999e-01	1.2903e-01	1.0000e+00	1.2123e+01	
