k	Q11	Q12	Q22	ak	dk	alphak	tauk	deltak	gammak	gammapk	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	5.2913e-09	1.0000e+00	1.0000e+00	-1.3535e-09	2.0000e+00	
2.0000e+00	-1.0418e-09	4.9999e-01	-1.5000e+00	5.0000e-01	1.0000e+00	3.8197e-01	6.1803e-01	1.0000e+00	-1.8787e-08	3.2361e+00	
3.0000e+00	-1.0404e-09	8.0903e-01	-3.4271e+00	5.0000e-01	3.6180e+00	5.4411e-01	4.5589e-01	1.0000e+00	-3.1962e-08	4.3871e+00	
4.0000e+00	-1.0394e-09	1.0968e+00	-5.9083e+00	5.0000e-01	7.4296e+00	6.3634e-01	3.6366e-01	1.0000e+00	-4.3370e-08	5.4996e+00	
5.0000e+00	-1.0380e-09	1.3749e+00	-8.9363e+00	5.0000e-01	1.2373e+01	6.9650e-01	3.0350e-01	1.0000e+00	-5.4154e-08	6.5898e+00	
6.0000e+00	-1.0363e-09	1.6475e+00	-1.2504e+01	5.0000e-01	1.8418e+01	7.3908e-01	2.6092e-01	1.0000e+00	-6.4598e-08	7.6652e+00	
7.0000e+00	-1.0345e-09	1.9163e+00	-1.6605e+01	5.0000e-01	2.5545e+01	7.7091e-01	2.2909e-01	1.0000e+00	-7.4991e-08	8.7302e+00	
8.0000e+00	-1.0328e-09	2.1826e+00	-2.1237e+01	5.0000e-01	3.3743e+01	7.9565e-01	2.0435e-01	1.0000e+00	-8.5363e-08	9.7872e+00	
9.0000e+00	-1.0309e-09	2.4468e+00	-2.6394e+01	5.0000e-01	4.3001e+01	8.1547e-01	1.8453e-01	1.0000e+00	-9.6019e-08	1.0838e+01	
1.0000e+01	-1.0288e-09	2.7096e+00	-3.2076e+01	5.0000e-01	5.3314e+01	8.3171e-01	1.6829e-01	1.0000e+00	-1.0664e-07	1.1884e+01	
1.1000e+01	-1.0266e-09	2.9710e+00	-3.8280e+01	5.0000e-01	6.4675e+01	8.4528e-01	1.5472e-01	1.0000e+00	-1.1667e-07	1.2926e+01	
1.2000e+01	-1.0243e-09	3.2316e+00	-4.5003e+01	5.0000e-01	7.7080e+01	8.5678e-01	1.4322e-01	1.0000e+00	-1.2607e-07	1.3965e+01	
1.3000e+01	-1.0219e-09	3.4913e+00	-5.2246e+01	5.0000e-01	9.0526e+01	8.6667e-01	1.3333e-01	1.0000e+00	-1.3520e-07	1.5001e+01	
1.4000e+01	-1.0195e-09	3.7503e+00	-6.0005e+01	5.0000e-01	1.0501e+02	8.7526e-01	1.2474e-01	1.0000e+00	-1.4443e-07	1.6034e+01	
1.5000e+01	-1.0171e-09	4.0085e+00	-6.8280e+01	5.0000e-01	1.2053e+02	8.8280e-01	1.1720e-01	1.0000e+00	-1.5387e-07	1.7065e+01	
1.6000e+01	-1.0148e-09	4.2666e+00	-7.7071e+01	5.0000e-01	1.3707e+02	8.8947e-01	1.1053e-01	1.0000e+00	-1.6343e-07	1.8094e+01	
1.7000e+01	-1.0125e-09	4.5237e+00	-8.6375e+01	5.0000e-01	1.5466e+02	8.9541e-01	1.0459e-01	1.0000e+00	-1.7294e-07	1.9122e+01	
1.8000e+01	-1.0102e-09	4.7808e+00	-9.6193e+01	5.0000e-01	1.7326e+02	9.0073e-01	9.9265e-02	1.0000e+00	-1.8225e-07	2.0148e+01	
1.9000e+01	-1.0079e-09	5.0370e+00	-1.0652e+02	5.0000e-01	1.9290e+02	9.0554e-01	9.4460e-02	1.0000e+00	-1.9129e-07	2.1173e+01	
2.0000e+01	-1.0056e-09	5.2936e+00	-1.1737e+02	5.0000e-01	2.1356e+02	9.0990e-01	9.0104e-02	1.0000e+00	-2.0008e-07	2.2196e+01	
2.1000e+01	-1.0033e-09	5.5493e+00	-1.2872e+02	5.0000e-01	2.3524e+02	9.1386e-01	8.6136e-02	1.0000e+00	-2.0870e-07	2.3219e+01	
2.2000e+01	-1.0010e-09	5.8058e+00	-1.4059e+02	5.0000e-01	2.5795e+02	9.1749e-01	8.2506e-02	1.0000e+00	-2.1725e-07	2.4241e+01	
2.3000e+01	-9.9864e-10	6.0608e+00	-1.5296e+02	5.0000e-01	2.8168e+02	9.2083e-01	7.9173e-02	1.0000e+00	-2.2581e-07	2.5261e+01	
2.4000e+01	-9.9622e-10	6.3169e+00	-1.6585e+02	5.0000e-01	3.0643e+02	9.2390e-01	7.6101e-02	1.0000e+00	-2.3444e-07	2.6281e+01	
2.5000e+01	-9.9375e-10	6.5712e+00	-1.7924e+02	5.0000e-01	3.3220e+02	9.2674e-01	7.3260e-02	1.0000e+00	-2.4315e-07	2.7300e+01	
