k	ak	bk	ck	dk	
1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2.0000e+00	9.9993e-01	1.8158e+00	-4.9175e-01	2.9971e+00	
3.0000e+00	9.9982e-01	4.7778e+00	-4.8644e-01	5.0077e+00	
4.0000e+00	9.9967e-01	9.3506e+00	-4.8046e-01	7.0254e+00	
5.0000e+00	9.9947e-01	1.5501e+01	-4.7383e-01	9.0513e+00	
6.0000e+00	9.9920e-01	2.3195e+01	-4.6646e-01	1.1086e+01	
7.0000e+00	9.9887e-01	3.2398e+01	-4.5841e-01	1.3131e+01	
8.0000e+00	9.9847e-01	4.3078e+01	-4.4966e-01	1.5187e+01	
9.0000e+00	9.9798e-01	5.5202e+01	-4.4010e-01	1.7255e+01	
1.0000e+01	9.9741e-01	6.8735e+01	-4.2965e-01	1.9336e+01	
1.1000e+01	9.9673e-01	8.3641e+01	-4.1829e-01	2.1432e+01	
1.2000e+01	9.9594e-01	9.9881e+01	-4.0605e-01	2.3543e+01	
1.3000e+01	9.9502e-01	1.1741e+02	-3.9292e-01	2.5672e+01	
1.4000e+01	9.9396e-01	1.3619e+02	-3.7887e-01	2.7820e+01	
1.5000e+01	9.9275e-01	1.5618e+02	-3.6390e-01	2.9989e+01	
1.6000e+01	9.9137e-01	1.7732e+02	-3.4799e-01	3.2180e+01	
1.7000e+01	9.8980e-01	1.9957e+02	-3.3111e-01	3.4396e+01	
1.8000e+01	9.8801e-01	2.2286e+02	-3.1328e-01	3.6639e+01	
1.9000e+01	9.8600e-01	2.4713e+02	-2.9457e-01	3.8912e+01	
2.0000e+01	9.8372e-01	2.7232e+02	-2.7511e-01	4.1218e+01	
2.1000e+01	9.8116e-01	2.9836e+02	-2.5510e-01	4.3560e+01	
2.2000e+01	9.7828e-01	3.2520e+02	-2.3475e-01	4.5941e+01	
2.3000e+01	9.7506e-01	3.5278e+02	-2.1433e-01	4.8366e+01	
2.4000e+01	9.7145e-01	3.8104e+02	-1.9414e-01	5.0838e+01	
2.5000e+01	9.6744e-01	4.0996e+02	-1.7449e-01	5.3359e+01	
2.6000e+01	9.6298e-01	4.3952e+02	-1.5570e-01	5.5934e+01	
2.7000e+01	9.5804e-01	4.6972e+02	-1.3805e-01	5.8564e+01	
2.8000e+01	9.5260e-01	5.0060e+02	-1.2189e-01	6.1252e+01	
2.9000e+01	9.4664e-01	5.3221e+02	-1.0748e-01	6.3998e+01	
3.0000e+01	9.4012e-01	5.6466e+02	-9.5021e-02	6.6803e+01	
3.1000e+01	9.3306e-01	5.9809e+02	-8.4676e-02	6.9665e+01	
3.2000e+01	9.2543e-01	6.3268e+02	-7.6682e-02	7.2582e+01	
3.3000e+01	9.1725e-01	6.6868e+02	-7.1310e-02	7.5549e+01	
3.4000e+01	9.0855e-01	7.0637e+02	-6.8934e-02	7.8561e+01	
3.5000e+01	8.9937e-01	7.4611e+02	-7.0458e-02	8.1610e+01	
3.6000e+01	8.8978e-01	7.8835e+02	-7.7493e-02	8.4687e+01	
3.7000e+01	8.7989e-01	8.3361e+02	-9.3112e-02	8.7782e+01	
3.8000e+01	8.6985e-01	8.8263e+02	-1.2255e-01	9.0884e+01	
3.9000e+01	8.5988e-01	9.3624e+02	-1.7324e-01	9.3980e+01	
4.0000e+01	8.5020e-01	9.9520e+02	-2.5144e-01	9.7054e+01	
4.1000e+01	8.4090e-01	1.0597e+03	-3.5441e-01	1.0009e+02	
4.2000e+01	8.3181e-01	1.1288e+03	-4.6547e-01	1.0308e+02	
4.3000e+01	8.2260e-01	1.2014e+03	-5.6123e-01	1.0602e+02	
4.4000e+01	8.1297e-01	1.2762e+03	-6.2670e-01	1.0892e+02	
4.5000e+01	8.0280e-01	1.3532e+03	-6.6336e-01	1.1177e+02	
4.6000e+01	7.9216e-01	1.4325e+03	-6.8446e-01	1.1461e+02	
4.7000e+01	7.8116e-01	1.5148e+03	-7.0523e-01	1.1745e+02	
4.8000e+01	7.6990e-01	1.6002e+03	-7.3468e-01	1.2028e+02	
4.9000e+01	7.5843e-01	1.6890e+03	-7.7224e-01	1.2311e+02	
5.0000e+01	7.4679e-01	1.7812e+03	-8.0858e-01	1.2591e+02	
5.1000e+01	7.3507e-01	1.8772e+03	-8.3066e-01	1.2865e+02	
5.2000e+01	7.2346e-01	1.9772e+03	-8.2741e-01	1.3127e+02	
5.3000e+01	7.1230e-01	2.0820e+03	-7.9668e-01	1.3375e+02	
5.4000e+01	7.0167e-01	2.1915e+03	-7.4194e-01	1.3608e+02	
5.5000e+01	6.9128e-01	2.3050e+03	-6.7744e-01	1.3834e+02	
5.6000e+01	6.8098e-01	2.4221e+03	-6.3751e-01	1.4059e+02	
5.7000e+01	6.7062e-01	2.5422e+03	-6.3782e-01	1.4288e+02	
5.8000e+01	6.6005e-01	2.6652e+03	-6.5492e-01	1.4519e+02	
5.9000e+01	6.4922e-01	2.7908e+03	-6.4036e-01	1.4741e+02	
