k	ak	bk	ck	dk	
1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2.0000e+00	9.9996e-01	5.7777e-01	7.6218e-05	2.0084e+00	
3.0000e+00	9.9989e-01	2.9045e+00	4.5653e-03	4.0132e+00	
4.0000e+00	9.9978e-01	6.9016e+00	8.5006e-03	6.0262e+00	
5.0000e+00	9.9962e-01	1.2514e+01	1.2850e-02	8.0469e+00	
6.0000e+00	9.9941e-01	1.9718e+01	1.7667e-02	1.0076e+01	
7.0000e+00	9.9915e-01	2.8490e+01	2.2946e-02	1.2114e+01	
8.0000e+00	9.9882e-01	3.8803e+01	2.8719e-02	1.4162e+01	
9.0000e+00	9.9842e-01	5.0626e+01	3.5062e-02	1.6221e+01	
1.0000e+01	9.9794e-01	6.3928e+01	4.2030e-02	1.8291e+01	
1.1000e+01	9.9737e-01	7.8676e+01	4.9608e-02	2.0375e+01	
1.2000e+01	9.9670e-01	9.4832e+01	5.7891e-02	2.2472e+01	
1.3000e+01	9.9591e-01	1.1236e+02	6.7026e-02	2.4585e+01	
1.4000e+01	9.9501e-01	1.3121e+02	7.6946e-02	2.6715e+01	
1.5000e+01	9.9396e-01	1.5135e+02	8.7392e-02	2.8863e+01	
1.6000e+01	9.9277e-01	1.7275e+02	9.8657e-02	3.1032e+01	
1.7000e+01	9.9141e-01	1.9536e+02	1.1059e-01	3.3223e+01	
1.8000e+01	9.8986e-01	2.1917e+02	1.2275e-01	3.5437e+01	
1.9000e+01	9.8812e-01	2.4414e+02	1.3579e-01	3.7676e+01	
2.0000e+01	9.8617e-01	2.7026e+02	1.4913e-01	3.9942e+01	
2.1000e+01	9.8399e-01	2.9753e+02	1.6275e-01	4.2236e+01	
2.2000e+01	9.8156e-01	3.2590e+02	1.7752e-01	4.4559e+01	
2.3000e+01	9.7886e-01	3.5537e+02	1.9251e-01	4.6913e+01	
2.4000e+01	9.7587e-01	3.8592e+02	2.0709e-01	4.9302e+01	
2.5000e+01	9.7257e-01	4.1755e+02	2.2057e-01	5.1728e+01	
2.6000e+01	9.6894e-01	4.5026e+02	2.3251e-01	5.4194e+01	
2.7000e+01	9.6496e-01	4.8407e+02	2.4251e-01	5.6702e+01	
