k	ak	bk	ck	dk	ek	ekc	
1.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2.0000e+00	4.9995e-01	-6.6834e-01	-3.3085e-01	1.6815e+00	6.7879e-01	6.7879e-01	
3.0000e+00	4.9989e-01	-1.1855e+00	-3.2907e-01	2.7030e+00	9.1844e-01	1.5972e+00	
4.0000e+00	4.9980e-01	-1.7058e+00	-3.2725e-01	3.7347e+00	1.1701e+00	2.7673e+00	
5.0000e+00	4.9969e-01	-2.2309e+00	-3.2538e-01	4.7768e+00	1.4275e+00	4.1949e+00	
6.0000e+00	4.9954e-01	-2.7612e+00	-3.2346e-01	5.8294e+00	1.6890e+00	5.8838e+00	
7.0000e+00	4.9937e-01	-3.2968e+00	-3.2148e-01	6.8927e+00	1.9539e+00	7.8378e+00	
8.0000e+00	4.9917e-01	-3.8379e+00	-3.1945e-01	7.9669e+00	2.2220e+00	1.0060e+01	
9.0000e+00	4.9894e-01	-4.3845e+00	-3.1735e-01	9.0520e+00	2.4932e+00	1.2553e+01	
1.0000e+01	4.9867e-01	-4.9368e+00	-3.1520e-01	1.0148e+01	2.7674e+00	1.5320e+01	
1.1000e+01	4.9838e-01	-5.4948e+00	-3.1299e-01	1.1256e+01	3.0446e+00	1.8365e+01	
1.2000e+01	4.9805e-01	-6.0587e+00	-3.1072e-01	1.2375e+01	3.3248e+00	2.1690e+01	
1.3000e+01	4.9769e-01	-6.6285e+00	-3.0838e-01	1.3506e+01	3.6080e+00	2.5298e+01	
1.4000e+01	4.9729e-01	-7.2045e+00	-3.0597e-01	1.4649e+01	3.8943e+00	2.9192e+01	
1.5000e+01	4.9685e-01	-7.7865e+00	-3.0349e-01	1.5804e+01	4.1836e+00	3.3376e+01	
1.6000e+01	4.9638e-01	-8.3749e+00	-3.0095e-01	1.6972e+01	4.4761e+00	3.7852e+01	
1.7000e+01	4.9586e-01	-8.9696e+00	-2.9833e-01	1.8152e+01	4.7717e+00	4.2623e+01	
1.8000e+01	4.9531e-01	-9.5707e+00	-2.9563e-01	1.9344e+01	5.0706e+00	4.7694e+01	
1.9000e+01	4.9472e-01	-1.0179e+01	-2.9286e-01	2.0550e+01	5.3728e+00	5.3067e+01	
2.0000e+01	4.9408e-01	-1.0793e+01	-2.9001e-01	2.1769e+01	5.6782e+00	5.8745e+01	
2.1000e+01	4.9340e-01	-1.1414e+01	-2.8708e-01	2.3001e+01	5.9871e+00	6.4732e+01	
2.2000e+01	4.9267e-01	-1.2042e+01	-2.8407e-01	2.4247e+01	6.2993e+00	7.1031e+01	
2.3000e+01	4.9190e-01	-1.2678e+01	-2.8097e-01	2.5506e+01	6.6151e+00	7.7647e+01	
2.4000e+01	4.9108e-01	-1.3320e+01	-2.7778e-01	2.6780e+01	6.9343e+00	8.4581e+01	
2.5000e+01	4.9021e-01	-1.3970e+01	-2.7450e-01	2.8068e+01	7.2572e+00	9.1838e+01	
2.6000e+01	4.8929e-01	-1.4627e+01	-2.7113e-01	2.9371e+01	7.5838e+00	9.9422e+01	
2.7000e+01	4.8831e-01	-1.5292e+01	-2.6765e-01	3.0688e+01	7.9141e+00	1.0734e+02	
2.8000e+01	4.8728e-01	-1.5964e+01	-2.6407e-01	3.2021e+01	8.2482e+00	1.1558e+02	
2.9000e+01	4.8619e-01	-1.6644e+01	-2.6040e-01	3.3369e+01	8.5861e+00	1.2417e+02	
3.0000e+01	4.8504e-01	-1.7333e+01	-2.5664e-01	3.4732e+01	8.9280e+00	1.3310e+02	
3.1000e+01	4.8384e-01	-1.8029e+01	-2.5276e-01	3.6112e+01	9.2738e+00	1.4237e+02	
3.2000e+01	4.8257e-01	-1.8734e+01	-2.4877e-01	3.7508e+01	9.6237e+00	1.5200e+02	
3.3000e+01	4.8124e-01	-1.9447e+01	-2.4467e-01	3.8920e+01	9.9777e+00	1.6197e+02	
3.4000e+01	4.7984e-01	-2.0168e+01	-2.4043e-01	4.0349e+01	1.0336e+01	1.7231e+02	
3.5000e+01	4.7837e-01	-2.0899e+01	-2.3606e-01	4.1795e+01	1.0699e+01	1.8301e+02	
3.6000e+01	4.7684e-01	-2.1637e+01	-2.3173e-01	4.3259e+01	1.1065e+01	1.9407e+02	
3.7000e+01	4.7523e-01	-2.2386e+01	-2.2698e-01	4.4740e+01	1.1437e+01	2.0551e+02	
3.8000e+01	4.7355e-01	-2.3143e+01	-2.2231e-01	4.6239e+01	1.1813e+01	2.1732e+02	
3.9000e+01	4.7178e-01	-2.3910e+01	-2.1745e-01	4.7757e+01	1.2193e+01	2.2952e+02	
4.0000e+01	4.6994e-01	-2.4687e+01	-2.1245e-01	4.9294e+01	1.2579e+01	2.4209e+02	
4.1000e+01	4.6801e-01	-2.5473e+01	-2.0730e-01	5.0850e+01	1.2969e+01	2.5506e+02	
4.2000e+01	4.6600e-01	-2.6269e+01	-2.0199e-01	5.2425e+01	1.3363e+01	2.6843e+02	
4.3000e+01	4.6390e-01	-2.7076e+01	-1.9653e-01	5.4020e+01	1.3763e+01	2.8219e+02	
4.4000e+01	4.6171e-01	-2.7893e+01	-1.9094e-01	5.5636e+01	1.4168e+01	2.9636e+02	
4.5000e+01	4.5943e-01	-2.8720e+01	-1.8520e-01	5.7272e+01	1.4579e+01	3.1094e+02	
4.6000e+01	4.5704e-01	-2.9558e+01	-1.7928e-01	5.8929e+01	1.4994e+01	3.2593e+02	
4.7000e+01	4.5456e-01	-3.0407e+01	-1.7317e-01	6.0608e+01	1.5415e+01	3.4135e+02	
4.8000e+01	4.5197e-01	-3.1267e+01	-1.6688e-01	6.2308e+01	1.5841e+01	3.5719e+02	
4.9000e+01	4.4927e-01	-3.2139e+01	-1.6041e-01	6.4031e+01	1.6273e+01	3.7346e+02	
5.0000e+01	4.4646e-01	-3.3022e+01	-1.5376e-01	6.5777e+01	1.6711e+01	3.9017e+02	
5.1000e+01	4.4354e-01	-3.3917e+01	-1.4692e-01	6.7546e+01	1.7154e+01	4.0732e+02	
5.2000e+01	4.4050e-01	-3.4825e+01	-1.3988e-01	6.9339e+01	1.7604e+01	4.2493e+02	
5.3000e+01	4.3733e-01	-3.5745e+01	-1.3263e-01	7.1156e+01	1.8059e+01	4.4299e+02	
5.4000e+01	4.3404e-01	-3.6677e+01	-1.2516e-01	7.2998e+01	1.8521e+01	4.6151e+02	
5.5000e+01	4.3061e-01	-3.7623e+01	-1.1746e-01	7.4865e+01	1.8989e+01	4.8050e+02	
5.6000e+01	4.2704e-01	-3.8582e+01	-1.0953e-01	7.6758e+01	1.9463e+01	4.9996e+02	
5.7000e+01	4.2334e-01	-3.9554e+01	-1.0139e-01	7.8677e+01	1.9944e+01	5.1990e+02	
5.8000e+01	4.1948e-01	-4.0540e+01	-9.3018e-02	8.0623e+01	2.0432e+01	5.4034e+02	
5.9000e+01	4.1548e-01	-4.1540e+01	-8.4361e-02	8.2597e+01	2.0927e+01	5.6126e+02	
6.0000e+01	4.1132e-01	-4.2555e+01	-7.5439e-02	8.4599e+01	2.1429e+01	5.8269e+02	
6.1000e+01	4.0699e-01	-4.3584e+01	-6.6248e-02	8.6630e+01	2.1938e+01	6.0463e+02	
6.2000e+01	4.0249e-01	-4.4629e+01	-5.6819e-02	8.8690e+01	2.2454e+01	6.2708e+02	
6.3000e+01	3.9782e-01	-4.5688e+01	-4.7127e-02	9.0780e+01	2.2978e+01	6.5006e+02	
6.4000e+01	3.9297e-01	-4.6764e+01	-3.7100e-02	9.2901e+01	2.3509e+01	6.7357e+02	
6.5000e+01	3.8793e-01	-4.7856e+01	-2.6724e-02	9.5053e+01	2.4049e+01	6.9762e+02	
6.6000e+01	3.8269e-01	-4.8964e+01	-1.6050e-02	9.7237e+01	2.4596e+01	7.2222e+02	
6.7000e+01	3.7725e-01	-5.0089e+01	-5.0982e-03	9.9455e+01	2.5152e+01	7.4737e+02	
6.8000e+01	3.7160e-01	-5.1231e+01	6.1771e-03	1.0171e+02	2.5716e+01	7.7308e+02	
6.9000e+01	3.6573e-01	-5.2392e+01	1.7883e-02	1.0399e+02	2.6289e+01	7.9937e+02	
7.0000e+01	3.5964e-01	-5.3570e+01	2.9926e-02	1.0631e+02	2.6870e+01	8.2624e+02	
7.1000e+01	3.5331e-01	-5.4766e+01	4.2268e-02	1.0867e+02	2.7461e+01	8.5371e+02	
7.2000e+01	3.4674e-01	-5.5982e+01	5.5069e-02	1.1106e+02	2.8061e+01	8.8177e+02	
7.3000e+01	3.3991e-01	-5.7217e+01	6.8358e-02	1.1349e+02	2.8670e+01	9.1044e+02	
7.4000e+01	3.3282e-01	-5.8472e+01	8.1924e-02	1.1596e+02	2.9289e+01	9.3972e+02	
7.5000e+01	3.2546e-01	-5.9748e+01	9.5895e-02	1.1847e+02	2.9918e+01	9.6964e+02	
7.6000e+01	3.1781e-01	-6.1044e+01	1.1046e-01	1.2102e+02	3.0557e+01	1.0002e+03	
7.7000e+01	3.0987e-01	-6.2362e+01	1.2545e-01	1.2361e+02	3.1206e+01	1.0314e+03	
7.8000e+01	3.0162e-01	-6.3702e+01	1.4074e-01	1.2625e+02	3.1866e+01	1.0633e+03	
7.9000e+01	2.9305e-01	-6.5064e+01	1.5672e-01	1.2893e+02	3.2538e+01	1.0958e+03	
8.0000e+01	2.8416e-01	-6.6450e+01	1.7321e-01	1.3165e+02	3.3220e+01	1.1290e+03	
8.1000e+01	2.7491e-01	-6.7859e+01	1.9009e-01	1.3442e+02	3.3914e+01	1.1629e+03	
8.2000e+01	2.6531e-01	-6.9293e+01	2.0779e-01	1.3723e+02	3.4619e+01	1.1976e+03	
8.3000e+01	2.5533e-01	-7.0752e+01	2.2582e-01	1.4010e+02	3.5337e+01	1.2329e+03	
8.4000e+01	2.4496e-01	-7.2236e+01	2.4447e-01	1.4301e+02	3.6067e+01	1.2690e+03	
8.5000e+01	2.3419e-01	-7.3747e+01	2.6391e-01	1.4598e+02	3.6811e+01	1.3058e+03	
8.6000e+01	2.2299e-01	-7.5285e+01	2.8370e-01	1.4900e+02	3.7567e+01	1.3433e+03	
8.7000e+01	2.1136e-01	-7.6851e+01	3.0421e-01	1.5207e+02	3.8336e+01	1.3817e+03	
8.8000e+01	1.9926e-01	-7.8445e+01	3.2562e-01	1.5520e+02	3.9120e+01	1.4208e+03	
8.9000e+01	1.8669e-01	-8.0070e+01	3.4793e-01	1.5838e+02	3.9918e+01	1.4607e+03	
9.0000e+01	1.7361e-01	-8.1724e+01	3.7074e-01	1.6163e+02	4.0730e+01	1.5014e+03	
9.1000e+01	1.6001e-01	-8.3409e+01	3.9453e-01	1.6493e+02	4.1558e+01	1.5430e+03	
9.2000e+01	1.4587e-01	-8.5127e+01	4.1900e-01	1.6830e+02	4.2401e+01	1.5854e+03	
9.3000e+01	1.3116e-01	-8.6878e+01	4.4458e-01	1.7173e+02	4.3260e+01	1.6287e+03	
9.4000e+01	1.1586e-01	-8.8663e+01	4.7113e-01	1.7522e+02	4.4135e+01	1.6728e+03	
9.5000e+01	9.9935e-02	-9.0483e+01	4.9868e-01	1.7878e+02	4.5027e+01	1.7178e+03	
