k	ak	bk	ck	dk	ek	ekc	apk	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
2.0000e+00	3.8291e-07	-3.4914e-01	3.9216e-03	1.0116e+00	8.0411e-01	8.0411e-01	4.9993e-01	
3.0000e+00	1.3942e-06	-5.6424e-01	6.0793e-03	2.0268e+00	6.6495e-01	1.4691e+00	4.9985e-01	
4.0000e+00	2.2735e-06	-7.3013e-01	7.7900e-03	3.0431e+00	6.1554e-01	2.0846e+00	4.9977e-01	
5.0000e+00	3.1170e-06	-8.6745e-01	9.2700e-03	4.0598e+00	5.8971e-01	2.6743e+00	4.9968e-01	
6.0000e+00	4.0006e-06	-9.8243e-01	1.0601e-02	5.0769e+00	5.7372e-01	3.2480e+00	4.9959e-01	
7.0000e+00	5.0362e-06	-1.0743e+00	1.1807e-02	6.0942e+00	5.6286e-01	3.8109e+00	4.9949e-01	
8.0000e+00	6.3533e-06	-1.1384e+00	1.2761e-02	7.1120e+00	5.5504e-01	4.3659e+00	4.9939e-01	
9.0000e+00	7.8200e-06	-1.1863e+00	1.3524e-02	8.1301e+00	5.4906e-01	4.9150e+00	4.9929e-01	
1.0000e+01	9.4614e-06	-1.2202e+00	1.4087e-02	9.1486e+00	5.4431e-01	5.4593e+00	4.9918e-01	
1.1000e+01	1.0905e-05	-1.2541e+00	1.4701e-02	1.0167e+01	5.4037e-01	5.9997e+00	4.9907e-01	
1.2000e+01	1.2671e-05	-1.2716e+00	1.5090e-02	1.1186e+01	5.3710e-01	6.5368e+00	4.9896e-01	
1.3000e+01	1.4123e-05	-1.2946e+00	1.5581e-02	1.2205e+01	5.3427e-01	7.0710e+00	4.9884e-01	
1.4000e+01	1.5972e-05	-1.3025e+00	1.5895e-02	1.3224e+01	5.3184e-01	7.6029e+00	4.9872e-01	
1.5000e+01	1.7595e-05	-1.3130e+00	1.6204e-02	1.4243e+01	5.2970e-01	8.1326e+00	4.9860e-01	
1.6000e+01	1.9319e-05	-1.3195e+00	1.6560e-02	1.5262e+01	5.2779e-01	8.6604e+00	4.9847e-01	
1.7000e+01	2.1263e-05	-1.3154e+00	1.6705e-02	1.6281e+01	5.2610e-01	9.1865e+00	4.9834e-01	
1.8000e+01	2.2876e-05	-1.3186e+00	1.6989e-02	1.7300e+01	5.2456e-01	9.7110e+00	4.9821e-01	
1.9000e+01	2.4940e-05	-1.3098e+00	1.7153e-02	1.8320e+01	5.2316e-01	1.0234e+01	4.9808e-01	
2.0000e+01	2.6893e-05	-1.3005e+00	1.7226e-02	1.9339e+01	5.2189e-01	1.0756e+01	4.9794e-01	
2.1000e+01	2.8701e-05	-1.2940e+00	1.7420e-02	2.0359e+01	5.2071e-01	1.1277e+01	4.9779e-01	
2.2000e+01	3.0897e-05	-1.2778e+00	1.7487e-02	2.1378e+01	5.1961e-01	1.1796e+01	4.9765e-01	
2.3000e+01	3.2980e-05	-1.2620e+00	1.7484e-02	2.2398e+01	5.1860e-01	1.2315e+01	4.9750e-01	
2.4000e+01	3.4953e-05	-1.2483e+00	1.7593e-02	2.3417e+01	5.1764e-01	1.2833e+01	4.9734e-01	
2.5000e+01	3.7295e-05	-1.2265e+00	1.7615e-02	2.4437e+01	5.1675e-01	1.3349e+01	4.9718e-01	
2.6000e+01	3.9634e-05	-1.2027e+00	1.7521e-02	2.5457e+01	5.1590e-01	1.3865e+01	4.9702e-01	
2.7000e+01	4.1838e-05	-1.1817e+00	1.7497e-02	2.6476e+01	5.1510e-01	1.4380e+01	4.9685e-01	
2.8000e+01	4.4267e-05	-1.1566e+00	1.7476e-02	2.7496e+01	5.1434e-01	1.4895e+01	4.9668e-01	
2.9000e+01	4.6845e-05	-1.1271e+00	1.7337e-02	2.8516e+01	5.1361e-01	1.5408e+01	4.9650e-01	
3.0000e+01	4.9346e-05	-1.0990e+00	1.7205e-02	2.9536e+01	5.1291e-01	1.5921e+01	4.9632e-01	
3.1000e+01	5.1963e-05	-1.0694e+00	1.7112e-02	3.0556e+01	5.1223e-01	1.6433e+01	4.9613e-01	
3.2000e+01	5.4799e-05	-1.0351e+00	1.6948e-02	3.1576e+01	5.1158e-01	1.6945e+01	4.9593e-01	
3.3000e+01	5.7680e-05	-9.9921e-01	1.6718e-02	3.2596e+01	5.1095e-01	1.7456e+01	4.9573e-01	
3.4000e+01	6.0609e-05	-9.6257e-01	1.6463e-02	3.3616e+01	5.1034e-01	1.7966e+01	4.9553e-01	
3.5000e+01	6.3621e-05	-9.2474e-01	1.6190e-02	3.4636e+01	5.0975e-01	1.8476e+01	4.9531e-01	
3.6000e+01	6.6717e-05	-8.8566e-01	1.5893e-02	3.5656e+01	5.0917e-01	1.8985e+01	4.9510e-01	
3.7000e+01	6.9891e-05	-8.4542e-01	1.5570e-02	3.6677e+01	5.0859e-01	1.9494e+01	4.9487e-01	
3.8000e+01	7.3138e-05	-8.0418e-01	1.5222e-02	3.7697e+01	5.0803e-01	2.0002e+01	4.9464e-01	
3.9000e+01	7.6452e-05	-7.6205e-01	1.4850e-02	3.8717e+01	5.0748e-01	2.0509e+01	4.9440e-01	
4.0000e+01	7.9827e-05	-7.1915e-01	1.4455e-02	3.9738e+01	5.0694e-01	2.1016e+01	4.9415e-01	
4.1000e+01	8.3256e-05	-6.7560e-01	1.4038e-02	4.0758e+01	5.0640e-01	2.1523e+01	4.9389e-01	
4.2000e+01	8.6734e-05	-6.3148e-01	1.3601e-02	4.1778e+01	5.0586e-01	2.2029e+01	4.9362e-01	
4.3000e+01	9.0256e-05	-5.8689e-01	1.3144e-02	4.2799e+01	5.0532e-01	2.2534e+01	4.9335e-01	
4.4000e+01	9.3815e-05	-5.4191e-01	1.2669e-02	4.3819e+01	5.0479e-01	2.3039e+01	4.9306e-01	
4.5000e+01	9.7406e-05	-4.9664e-01	1.2175e-02	4.4840e+01	5.0426e-01	2.3543e+01	4.9277e-01	
4.6000e+01	1.0103e-04	-4.5113e-01	1.1666e-02	4.5861e+01	5.0372e-01	2.4047e+01	4.9246e-01	
4.7000e+01	1.0467e-04	-4.0545e-01	1.1143e-02	4.6881e+01	5.0319e-01	2.4550e+01	4.9215e-01	
4.8000e+01	1.0833e-04	-3.5967e-01	1.0604e-02	4.7902e+01	5.0265e-01	2.5052e+01	4.9182e-01	
