k	ak	bk	ck	dk	ek	ekc	apk	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
2.0000e+00	-6.1018e-09	-2.4983e-01	2.4983e-01	5.0034e-01	5.0000e-01	5.0000e-01	5.0000e-01	
3.0000e+00	6.2853e-10	-2.4986e-01	2.4986e-01	1.5003e+00	5.0000e-01	1.0000e+00	5.0000e-01	
4.0000e+00	6.5568e-09	-2.4987e-01	2.4987e-01	2.5003e+00	5.0000e-01	1.5000e+00	5.0000e-01	
5.0000e+00	1.3013e-08	-2.4981e-01	2.4981e-01	3.5004e+00	5.0000e-01	2.0000e+00	5.0000e-01	
6.0000e+00	2.0257e-08	-2.4984e-01	2.4984e-01	4.5003e+00	5.0000e-01	2.5000e+00	5.0000e-01	
7.0000e+00	2.8137e-08	-2.4981e-01	2.4980e-01	5.5004e+00	5.0000e-01	3.0000e+00	5.0000e-01	
8.0000e+00	3.6582e-08	-2.4986e-01	2.4986e-01	6.5003e+00	5.0000e-01	3.5000e+00	5.0000e-01	
9.0000e+00	4.5463e-08	-2.4963e-01	2.4963e-01	7.5007e+00	5.0000e-01	4.0000e+00	5.0000e-01	
1.0000e+01	5.4652e-08	-2.4978e-01	2.4978e-01	8.5004e+00	5.0000e-01	4.5000e+00	5.0000e-01	
1.1000e+01	6.4073e-08	-2.4996e-01	2.4996e-01	9.5001e+00	5.0000e-01	5.0000e+00	5.0000e-01	
1.2000e+01	7.3703e-08	-2.4976e-01	2.4975e-01	1.0500e+01	5.0000e-01	5.5000e+00	5.0000e-01	
1.3000e+01	8.3546e-08	-2.4996e-01	2.4996e-01	1.1500e+01	5.0000e-01	6.0000e+00	5.0000e-01	
1.4000e+01	9.3651e-08	-2.4994e-01	2.4994e-01	1.2500e+01	5.0000e-01	6.5000e+00	5.0000e-01	
1.5000e+01	1.0403e-07	-2.4976e-01	2.4976e-01	1.3500e+01	5.0000e-01	7.0000e+00	5.0000e-01	
1.6000e+01	1.1445e-07	-2.5005e-01	2.5005e-01	1.4500e+01	5.0000e-01	7.5000e+00	5.0000e-01	
1.7000e+01	1.2452e-07	-2.5008e-01	2.5008e-01	1.5500e+01	5.0000e-01	8.0000e+00	5.0000e-01	
1.8000e+01	1.3405e-07	-2.4986e-01	2.4985e-01	1.6500e+01	5.0000e-01	8.5000e+00	5.0000e-01	
