k	ak	bk	ck	dk	ek	ekc	apk	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
2.0000e+00	-2.1606e-08	-3.1257e-07	5.6408e-08	1.0000e+00	5.0000e-01	5.0000e-01	5.0000e-01	
3.0000e+00	-4.3478e-09	-7.2997e-07	1.5417e-07	2.0000e+00	5.0000e-01	1.0000e+00	5.0000e-01	
4.0000e+00	1.2523e-08	-1.1911e-06	2.7697e-07	3.0000e+00	5.0000e-01	1.5000e+00	5.0000e-01	
5.0000e+00	3.1012e-08	-1.7302e-06	4.2891e-07	4.0000e+00	5.0000e-01	2.0000e+00	5.0000e-01	
6.0000e+00	5.1099e-08	-2.3030e-06	5.9793e-07	5.0000e+00	5.0000e-01	2.5000e+00	5.0000e-01	
7.0000e+00	7.2426e-08	-2.8827e-06	7.8256e-07	6.0000e+00	5.0000e-01	3.0000e+00	5.0000e-01	
8.0000e+00	9.5046e-08	-3.4672e-06	9.8076e-07	7.0000e+00	5.0000e-01	3.5000e+00	5.0000e-01	
9.0000e+00	1.1912e-07	-4.0497e-06	1.1880e-06	8.0000e+00	5.0000e-01	4.0000e+00	5.0000e-01	
1.0000e+01	1.4444e-07	-4.6246e-06	1.4016e-06	9.0000e+00	5.0000e-01	4.5000e+00	5.0000e-01	
1.1000e+01	1.7065e-07	-5.1940e-06	1.6216e-06	1.0000e+01	5.0000e-01	5.0000e+00	5.0000e-01	
1.2000e+01	1.9763e-07	-5.7607e-06	1.8482e-06	1.1000e+01	5.0000e-01	5.5000e+00	5.0000e-01	
1.3000e+01	2.2542e-07	-6.3229e-06	2.0798e-06	1.2000e+01	5.0000e-01	6.0000e+00	5.0000e-01	
1.4000e+01	2.5410e-07	-6.8759e-06	2.3137e-06	1.3000e+01	5.0000e-01	6.5000e+00	5.0000e-01	
1.5000e+01	2.8363e-07	-7.4154e-06	2.5475e-06	1.4000e+01	5.0000e-01	7.0000e+00	5.0000e-01	
1.6000e+01	3.1384e-07	-7.9395e-06	2.7797e-06	1.5000e+01	5.0000e-01	7.5000e+00	5.0000e-01	
1.7000e+01	3.4448e-07	-8.4486e-06	3.0103e-06	1.6000e+01	5.0000e-01	8.0000e+00	5.0000e-01	
1.8000e+01	3.7532e-07	-8.9440e-06	3.2395e-06	1.7000e+01	5.0000e-01	8.5000e+00	5.0000e-01	
1.9000e+01	4.0618e-07	-9.4271e-06	3.4677e-06	1.8000e+01	5.0000e-01	9.0000e+00	5.0000e-01	
2.0000e+01	4.3695e-07	-9.8982e-06	3.6949e-06	1.9000e+01	5.0000e-01	9.5000e+00	5.0000e-01	
2.1000e+01	4.6760e-07	-1.0357e-05	3.9206e-06	2.0000e+01	5.0000e-01	1.0000e+01	5.0000e-01	
2.2000e+01	4.9818e-07	-1.0802e-05	4.1438e-06	2.1000e+01	5.0000e-01	1.0500e+01	5.0000e-01	
2.3000e+01	5.2884e-07	-1.1231e-05	4.3636e-06	2.2000e+01	5.0000e-01	1.1000e+01	5.0000e-01	
