k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	1.3740e-02	9.9995e-01	1.0000e+00	1.0076e+00	
2.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	1.0003e+00	1.1128e-02	5.0278e-01	1.0000e+00	1.0092e+00	
3.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	2.0007e+00	9.7593e-03	3.3564e-01	1.0000e+00	1.0095e+00	
4.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	3.0012e+00	8.8821e-03	2.5190e-01	1.0000e+00	1.0096e+00	
5.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	4.0017e+00	8.2467e-03	2.0160e-01	1.0000e+00	1.0097e+00	
6.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	5.0023e+00	7.7584e-03	1.6804e-01	1.0000e+00	1.0097e+00	
7.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	6.0030e+00	7.3687e-03	1.4406e-01	1.0000e+00	1.0098e+00	
8.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	7.0037e+00	7.0478e-03	1.2607e-01	1.0000e+00	1.0098e+00	
9.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	8.0045e+00	6.7776e-03	1.1208e-01	1.0000e+00	1.0098e+00	
1.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	9.0053e+00	6.5464e-03	1.0088e-01	1.0000e+00	1.0098e+00	
1.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	1.0006e+01	6.3451e-03	9.1713e-02	1.0000e+00	1.0099e+00	
1.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	1.1007e+01	6.1674e-03	8.4074e-02	1.0000e+00	1.0099e+00	
1.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	1.2008e+01	6.0085e-03	7.7610e-02	1.0000e+00	1.0099e+00	
1.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	1.3009e+01	5.8654e-03	7.2069e-02	1.0000e+00	1.0099e+00	
