k	ak	bk	ck	dk	ek	ekc	apk	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
2.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.2500e-01	3.1258e-02	3.1258e-02	5.0000e-01	
3.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	3.1259e-02	6.2516e-02	5.0000e-01	
4.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.7500e-01	3.1258e-02	9.3774e-02	5.0000e-01	
5.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	3.1257e-02	1.2503e-01	5.0000e-01	
6.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.2500e-01	3.1257e-02	1.5629e-01	5.0000e-01	
7.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	7.5000e-01	3.1257e-02	1.8754e-01	5.0000e-01	
8.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.7500e-01	3.1256e-02	2.1880e-01	5.0000e-01	
9.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	3.1256e-02	2.5006e-01	5.0000e-01	
1.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1250e+00	3.1256e-02	2.8131e-01	5.0000e-01	
1.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.2500e+00	3.1256e-02	3.1257e-01	5.0000e-01	
1.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.3750e+00	3.1256e-02	3.4382e-01	5.0000e-01	
1.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.5000e+00	3.1256e-02	3.7508e-01	5.0000e-01	
1.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.6250e+00	3.1256e-02	4.0634e-01	5.0000e-01	
1.5000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.7500e+00	3.1256e-02	4.3759e-01	5.0000e-01	
1.6000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.8750e+00	3.1256e-02	4.6885e-01	5.0000e-01	
1.7000e+01	0.0000e+00	0.0000e+00	0.0000e+00	2.0000e+00	3.1256e-02	5.0010e-01	5.0000e-01	
1.8000e+01	0.0000e+00	0.0000e+00	0.0000e+00	2.1250e+00	3.1255e-02	5.3136e-01	5.0000e-01	
1.9000e+01	0.0000e+00	0.0000e+00	0.0000e+00	2.2500e+00	3.1255e-02	5.6261e-01	5.0000e-01	
