k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	1.1689e-02	9.9979e-01	1.0000e+00	1.0116e+00	
2.0000e+00	-3.5939e-07	-5.4684e-02	-4.3059e-05	1.1049e-03	5.0000e-01	9.9988e-01	1.2093e-02	5.0407e-01	1.0000e+00	1.0139e+00	
3.0000e+00	-5.1219e-07	-9.7142e-02	4.5157e-04	1.5995e-03	5.0000e-01	1.9997e+00	1.1816e-02	3.3685e-01	1.0000e+00	1.0146e+00	
4.0000e+00	-5.4745e-07	-1.3349e-01	6.2678e-04	2.0854e-03	5.0000e-01	3.0002e+00	1.1429e-02	2.5290e-01	1.0000e+00	1.0148e+00	
5.0000e+00	-5.5634e-07	-1.6570e-01	7.5732e-04	2.4748e-03	5.0000e-01	4.0009e+00	1.0851e-02	2.0243e-01	1.0000e+00	1.0149e+00	
6.0000e+00	-5.7272e-07	-1.9598e-01	8.7154e-04	2.8180e-03	5.0000e-01	5.0018e+00	1.0474e-02	1.6876e-01	1.0000e+00	1.0151e+00	
7.0000e+00	-5.7555e-07	-2.2410e-01	9.5495e-04	3.1108e-03	5.0000e-01	6.0030e+00	1.0125e-02	1.4469e-01	1.0000e+00	1.0151e+00	
8.0000e+00	-5.7695e-07	-2.5062e-01	1.0159e-03	3.3729e-03	5.0000e-01	7.0042e+00	9.8011e-03	1.2663e-01	1.0000e+00	1.0152e+00	
9.0000e+00	-5.7735e-07	-2.7582e-01	1.0618e-03	3.6109e-03	5.0000e-01	8.0056e+00	9.5053e-03	1.1257e-01	1.0000e+00	1.0152e+00	
1.0000e+01	-5.7695e-07	-2.9987e-01	1.0973e-03	3.8287e-03	5.0000e-01	9.0071e+00	9.2355e-03	1.0133e-01	1.0000e+00	1.0153e+00	
1.1000e+01	-5.7582e-07	-3.2292e-01	1.1244e-03	4.0293e-03	5.0000e-01	1.0009e+01	8.9886e-03	9.2122e-02	1.0000e+00	1.0153e+00	
1.2000e+01	-5.7406e-07	-3.4512e-01	1.1440e-03	4.2153e-03	5.0000e-01	1.1010e+01	8.7624e-03	8.4450e-02	1.0000e+00	1.0153e+00	
1.3000e+01	-5.7182e-07	-3.6657e-01	1.1578e-03	4.3887e-03	5.0000e-01	1.2012e+01	8.5549e-03	7.7958e-02	1.0000e+00	1.0154e+00	
1.4000e+01	-5.6930e-07	-3.8737e-01	1.1687e-03	4.5510e-03	5.0000e-01	1.3014e+01	8.3642e-03	7.2393e-02	1.0000e+00	1.0154e+00	
1.5000e+01	-5.6665e-07	-4.0760e-01	1.1802e-03	4.7038e-03	5.0000e-01	1.4016e+01	8.1882e-03	6.7569e-02	1.0000e+00	1.0154e+00	
1.6000e+01	-5.6400e-07	-4.2733e-01	1.1949e-03	4.8484e-03	5.0000e-01	1.5018e+01	8.0247e-03	6.3348e-02	1.0000e+00	1.0154e+00	
1.7000e+01	-5.6139e-07	-4.4664e-01	1.2138e-03	4.9864e-03	5.0000e-01	1.6020e+01	7.8720e-03	5.9623e-02	1.0000e+00	1.0154e+00	
1.8000e+01	-5.5884e-07	-4.6559e-01	1.2356e-03	5.1188e-03	5.0000e-01	1.7022e+01	7.7292e-03	5.6312e-02	1.0000e+00	1.0154e+00	
1.9000e+01	-5.5639e-07	-4.8423e-01	1.2573e-03	5.2467e-03	5.0000e-01	1.8024e+01	7.5956e-03	5.3348e-02	1.0000e+00	1.0154e+00	
2.0000e+01	-5.5402e-07	-5.0260e-01	1.2753e-03	5.3706e-03	5.0000e-01	1.9026e+01	7.4706e-03	5.0681e-02	1.0000e+00	1.0154e+00	
2.1000e+01	-5.5172e-07	-5.2071e-01	1.2861e-03	5.4912e-03	5.0000e-01	2.0028e+01	7.3535e-03	4.8267e-02	1.0000e+00	1.0154e+00	
2.2000e+01	-5.4948e-07	-5.3858e-01	1.2875e-03	5.6084e-03	5.0000e-01	2.1031e+01	7.2435e-03	4.6072e-02	1.0000e+00	1.0154e+00	
2.3000e+01	-5.4728e-07	-5.5622e-01	1.2785e-03	5.7225e-03	5.0000e-01	2.2033e+01	7.1397e-03	4.4068e-02	1.0000e+00	1.0154e+00	
2.4000e+01	-5.4512e-07	-5.7361e-01	1.2600e-03	5.8336e-03	5.0000e-01	2.3035e+01	7.0416e-03	4.2232e-02	1.0000e+00	1.0154e+00	
2.5000e+01	-5.4301e-07	-5.9078e-01	1.2340e-03	5.9416e-03	5.0000e-01	2.4038e+01	6.9484e-03	4.0542e-02	1.0000e+00	1.0154e+00	
2.6000e+01	-5.4094e-07	-6.0772e-01	1.2037e-03	6.0466e-03	5.0000e-01	2.5040e+01	6.8595e-03	3.8983e-02	1.0000e+00	1.0154e+00	
2.7000e+01	-5.3893e-07	-6.2447e-01	1.1731e-03	6.1486e-03	5.0000e-01	2.6043e+01	6.7746e-03	3.7540e-02	1.0000e+00	1.0154e+00	
2.8000e+01	-5.3693e-07	-6.4101e-01	1.1451e-03	6.2478e-03	5.0000e-01	2.7046e+01	6.6934e-03	3.6200e-02	1.0000e+00	1.0155e+00	
2.9000e+01	-5.3495e-07	-6.5737e-01	1.1216e-03	6.3444e-03	5.0000e-01	2.8048e+01	6.6158e-03	3.4953e-02	1.0000e+00	1.0155e+00	
3.0000e+01	-5.3295e-07	-6.7356e-01	1.1030e-03	6.4385e-03	5.0000e-01	2.9051e+01	6.5419e-03	3.3789e-02	1.0000e+00	1.0156e+00	
3.1000e+01	-5.3094e-07	-6.8957e-01	1.0903e-03	6.5303e-03	5.0000e-01	3.0054e+01	6.4714e-03	3.2700e-02	1.0000e+00	1.0156e+00	
3.2000e+01	-5.2893e-07	-7.0543e-01	1.0850e-03	6.6199e-03	5.0000e-01	3.1056e+01	6.4041e-03	3.1680e-02	1.0000e+00	1.0157e+00	
3.3000e+01	-5.2695e-07	-7.2113e-01	1.0875e-03	6.7074e-03	5.0000e-01	3.2059e+01	6.3397e-03	3.0721e-02	1.0000e+00	1.0157e+00	
3.4000e+01	-5.2504e-07	-7.3671e-01	1.0979e-03	6.7931e-03	5.0000e-01	3.3062e+01	6.2779e-03	2.9819e-02	1.0000e+00	1.0158e+00	
3.5000e+01	-5.2321e-07	-7.5217e-01	1.1159e-03	6.8771e-03	5.0000e-01	3.4064e+01	6.2184e-03	2.8968e-02	1.0000e+00	1.0158e+00	
3.6000e+01	-5.2148e-07	-7.6754e-01	1.1405e-03	6.9598e-03	5.0000e-01	3.5067e+01	6.1610e-03	2.8164e-02	1.0000e+00	1.0159e+00	
3.7000e+01	-5.1988e-07	-7.8283e-01	1.1706e-03	7.0413e-03	5.0000e-01	3.6070e+01	6.1055e-03	2.7404e-02	1.0000e+00	1.0159e+00	
3.8000e+01	-5.1841e-07	-7.9807e-01	1.2050e-03	7.1217e-03	5.0000e-01	3.7073e+01	6.0518e-03	2.6683e-02	1.0000e+00	1.0159e+00	
3.9000e+01	-5.1707e-07	-8.1326e-01	1.2427e-03	7.2013e-03	5.0000e-01	3.8076e+01	5.9998e-03	2.6000e-02	1.0000e+00	1.0159e+00	
4.0000e+01	-5.1588e-07	-8.2843e-01	1.2822e-03	7.2803e-03	5.0000e-01	3.9078e+01	5.9494e-03	2.5350e-02	1.0000e+00	1.0160e+00	
4.1000e+01	-5.1483e-07	-8.4359e-01	1.3225e-03	7.3587e-03	5.0000e-01	4.0081e+01	5.9004e-03	2.4732e-02	1.0000e+00	1.0160e+00	
4.2000e+01	-5.1392e-07	-8.5876e-01	1.3627e-03	7.4368e-03	5.0000e-01	4.1084e+01	5.8527e-03	2.4143e-02	1.0000e+00	1.0160e+00	
4.3000e+01	-5.1315e-07	-8.7394e-01	1.4019e-03	7.5146e-03	5.0000e-01	4.2087e+01	5.8064e-03	2.3581e-02	1.0000e+00	1.0160e+00	
4.4000e+01	-5.1252e-07	-8.8916e-01	1.4395e-03	7.5922e-03	5.0000e-01	4.3090e+01	5.7614e-03	2.3045e-02	1.0000e+00	1.0160e+00	
