k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	9.8517e-03	9.9999e-01	1.0000e+00	1.0026e+00	
2.0000e+00	-1.6482e-08	-1.4235e-02	1.8745e-05	2.6250e-04	5.0000e-01	1.0002e+00	9.6932e-03	5.0094e-01	1.0000e+00	1.0032e+00	
3.0000e+00	-1.9192e-08	-1.4198e-02	7.6840e-05	2.6025e-04	5.0000e-01	2.0006e+00	9.7114e-03	3.3418e-01	1.0000e+00	1.0034e+00	
4.0000e+00	-1.8371e-08	-1.4057e-02	7.0821e-05	2.9397e-04	4.9999e-01	3.0014e+00	9.7607e-03	2.5073e-01	1.0000e+00	1.0035e+00	
5.0000e+00	-1.8034e-08	-1.3832e-02	5.0050e-05	3.2309e-04	4.9999e-01	4.0025e+00	9.8293e-03	2.0063e-01	1.0000e+00	1.0036e+00	
6.0000e+00	-1.7679e-08	-1.3374e-02	2.1688e-05	3.4805e-04	4.9999e-01	5.0038e+00	9.9069e-03	1.6723e-01	1.0000e+00	1.0037e+00	
7.0000e+00	-1.7324e-08	-1.2654e-02	-1.2259e-05	3.6877e-04	4.9998e-01	6.0055e+00	9.9911e-03	1.4337e-01	1.0000e+00	1.0038e+00	
8.0000e+00	-1.6978e-08	-1.1695e-02	-5.0705e-05	3.8569e-04	4.9997e-01	7.0075e+00	1.0084e-02	1.2547e-01	1.0000e+00	1.0038e+00	
9.0000e+00	-1.6604e-08	-1.0491e-02	-9.2990e-05	3.9873e-04	4.9997e-01	8.0099e+00	1.0183e-02	1.1155e-01	1.0000e+00	1.0039e+00	
1.0000e+01	-1.6230e-08	-9.0813e-03	-1.3903e-04	4.0832e-04	4.9996e-01	9.0126e+00	1.0284e-02	1.0041e-01	1.0000e+00	1.0040e+00	
1.1000e+01	-1.5865e-08	-7.4852e-03	-1.8896e-04	4.1470e-04	4.9995e-01	1.0016e+01	1.0388e-02	9.1297e-02	1.0000e+00	1.0041e+00	
1.2000e+01	-1.5488e-08	-5.6938e-03	-2.4298e-04	4.1779e-04	4.9994e-01	1.1019e+01	1.0495e-02	8.3703e-02	1.0000e+00	1.0042e+00	
1.3000e+01	-1.5085e-08	-3.6932e-03	-3.0143e-04	4.1756e-04	4.9992e-01	1.2023e+01	1.0603e-02	7.7278e-02	1.0000e+00	1.0043e+00	
1.4000e+01	-1.4652e-08	-1.4757e-03	-3.6475e-04	4.1412e-04	4.9991e-01	1.3027e+01	1.0714e-02	7.1772e-02	1.0000e+00	1.0044e+00	
1.5000e+01	-1.4197e-08	9.5471e-04	-4.3338e-04	4.0772e-04	4.9989e-01	1.4032e+01	1.0828e-02	6.7000e-02	1.0000e+00	1.0045e+00	
1.6000e+01	-1.3731e-08	3.5830e-03	-5.0778e-04	3.9871e-04	4.9987e-01	1.5037e+01	1.0944e-02	6.2825e-02	1.0000e+00	1.0046e+00	
1.7000e+01	-1.3270e-08	6.3889e-03	-5.8841e-04	3.8747e-04	4.9985e-01	1.6042e+01	1.1063e-02	5.9142e-02	1.0000e+00	1.0047e+00	
1.8000e+01	-1.2823e-08	9.3547e-03	-6.7574e-04	3.7429e-04	4.9983e-01	1.7048e+01	1.1185e-02	5.5869e-02	1.0000e+00	1.0048e+00	
1.9000e+01	-1.2391e-08	1.2470e-02	-7.7029e-04	3.5934e-04	4.9981e-01	1.8055e+01	1.1310e-02	5.2941e-02	1.0000e+00	1.0049e+00	
2.0000e+01	-1.1970e-08	1.5732e-02	-8.7257e-04	3.4265e-04	4.9978e-01	1.9061e+01	1.1437e-02	5.0306e-02	1.0000e+00	1.0051e+00	
2.1000e+01	-1.1549e-08	1.9143e-02	-9.8315e-04	3.2419e-04	4.9975e-01	2.0069e+01	1.1567e-02	4.7922e-02	1.0000e+00	1.0052e+00	
2.2000e+01	-1.1122e-08	2.2705e-02	-1.1026e-03	3.0391e-04	4.9972e-01	2.1077e+01	1.1701e-02	4.5756e-02	1.0000e+00	1.0054e+00	
2.3000e+01	-1.0683e-08	2.6417e-02	-1.2316e-03	2.8181e-04	4.9969e-01	2.2085e+01	1.1837e-02	4.3779e-02	1.0000e+00	1.0055e+00	
2.4000e+01	-1.0231e-08	3.0278e-02	-1.3707e-03	2.5793e-04	4.9965e-01	2.3094e+01	1.1976e-02	4.1968e-02	1.0000e+00	1.0057e+00	
2.5000e+01	-9.7639e-09	3.4284e-02	-1.5205e-03	2.3229e-04	4.9961e-01	2.4104e+01	1.2118e-02	4.0302e-02	1.0000e+00	1.0059e+00	
2.6000e+01	-9.2837e-09	3.8435e-02	-1.6819e-03	2.0494e-04	4.9957e-01	2.5114e+01	1.2263e-02	3.8765e-02	1.0000e+00	1.0061e+00	
2.7000e+01	-8.7909e-09	4.2732e-02	-1.8556e-03	1.7593e-04	4.9952e-01	2.6125e+01	1.2412e-02	3.7342e-02	1.0000e+00	1.0063e+00	
2.8000e+01	-8.2861e-09	4.7179e-02	-2.0425e-03	1.4531e-04	4.9947e-01	2.7136e+01	1.2564e-02	3.6022e-02	1.0000e+00	1.0065e+00	
2.9000e+01	-7.7706e-09	5.1782e-02	-2.2436e-03	1.1315e-04	4.9942e-01	2.8149e+01	1.2720e-02	3.4793e-02	1.0000e+00	1.0068e+00	
