k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	2.5107e-11	1.0000e+00	1.0000e+00	1.0002e+00	
2.0000e+00	-5.4782e-10	5.2694e-09	-1.8153e-05	4.1666e-05	5.0000e-01	9.9995e-01	1.2583e-11	5.0007e-01	1.0000e+00	1.0002e+00	
3.0000e+00	-6.6866e-11	6.2241e-09	-7.3301e-06	2.8535e-05	5.0000e-01	2.0000e+00	8.4101e-12	3.3339e-01	1.0000e+00	1.0002e+00	
4.0000e+00	-3.7166e-10	6.0095e-09	-1.1942e-05	4.1082e-05	5.0000e-01	2.9999e+00	6.3207e-12	2.5005e-01	1.0000e+00	1.0002e+00	
5.0000e+00	-2.3810e-10	6.5639e-09	-1.1210e-05	4.4727e-05	5.0000e-01	3.9999e+00	5.0652e-12	2.0004e-01	1.0000e+00	1.0002e+00	
6.0000e+00	-2.4330e-10	6.5639e-09	-1.1935e-05	4.8837e-05	5.0000e-01	4.9999e+00	4.2270e-12	1.6670e-01	1.0000e+00	1.0002e+00	
7.0000e+00	-2.1160e-10	6.5477e-09	-1.2936e-05	5.2638e-05	5.0000e-01	5.9999e+00	3.6277e-12	1.4289e-01	1.0000e+00	1.0002e+00	
8.0000e+00	-1.9781e-10	6.4317e-09	-1.4106e-05	5.6429e-05	5.0000e-01	6.9999e+00	3.1777e-12	1.2503e-01	1.0000e+00	1.0002e+00	
9.0000e+00	-1.8811e-10	6.2992e-09	-1.5490e-05	6.0387e-05	5.0000e-01	7.9999e+00	2.8274e-12	1.1114e-01	1.0000e+00	1.0002e+00	
1.0000e+01	-1.8502e-10	6.1831e-09	-1.7068e-05	6.4497e-05	5.0000e-01	8.9999e+00	2.5470e-12	1.0002e-01	1.0000e+00	1.0002e+00	
